Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,19:24:44,0.153
12/2/2022,19:24:45,0.168
12/2/2022,19:24:46,0.173
12/2/2022,19:24:47,0.151
12/2/2022,19:24:48,0.154
12/2/2022,19:24:49,0.144
12/2/2022,19:24:50,0.148
12/2/2022,19:24:51,0.157
12/2/2022,19:24:52,0.147
12/2/2022,19:24:53,0.154
12/2/2022,19:24:54,0.178
12/2/2022,19:24:55,0.171
12/2/2022,19:24:56,0.163
12/2/2022,19:24:57,0.158
12/2/2022,19:24:58,0.154
12/2/2022,19:24:59,0.142
12/2/2022,19:25:00,0.154
12/2/2022,19:25:01,0.149
12/2/2022,19:25:02,0.135
12/2/2022,19:25:03,0.122
12/2/2022,19:25:04,0.147
12/2/2022,19:25:05,0.158
12/2/2022,19:25:06,0.153
12/2/2022,19:25:07,0.131
12/2/2022,19:25:08,0.128
12/2/2022,19:25:09,0.17
12/2/2022,19:25:10,0.138
12/2/2022,19:25:11,0.141
12/2/2022,19:25:12,0.137
12/2/2022,19:25:13,0.142
12/2/2022,19:25:14,0.192
12/2/2022,19:25:15,0.148
12/2/2022,19:25:16,0.115
12/2/2022,19:25:17,0.129
12/2/2022,19:25:18,0.138
12/2/2022,19:25:19,0.123
12/2/2022,19:25:20,0.135
12/2/2022,19:25:21,0.138
12/2/2022,19:25:22,0.135
12/2/2022,19:25:23,0.152
12/2/2022,19:25:24,0.141
12/2/2022,19:25:25,0.152
12/2/2022,19:25:26,0.142
12/2/2022,19:25:27,0.173
12/2/2022,19:25:28,0.143
12/2/2022,19:25:29,0.168
12/2/2022,19:25:30,0.164
12/2/2022,19:25:31,0.179
12/2/2022,19:25:32,0.157
12/2/2022,19:25:33,0.142
12/2/2022,19:25:34,0.144
12/2/2022,19:25:35,0.14
12/2/2022,19:25:36,0.122
12/2/2022,19:25:37,0.152
12/2/2022,19:25:38,0.124
12/2/2022,19:25:39,0.123
12/2/2022,19:25:40,0.13
12/2/2022,19:25:41,0.173
12/2/2022,19:25:42,0.127
12/2/2022,19:25:43,0.154
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,20:24:44,0.164
12/2/2022,20:24:45,0.166
12/2/2022,20:24:46,0.162
12/2/2022,20:24:47,0.163
12/2/2022,20:24:48,0.171
12/2/2022,20:24:49,0.178
12/2/2022,20:24:50,0.157
12/2/2022,20:24:51,0.224
12/2/2022,20:24:52,0.179
12/2/2022,20:24:53,0.155
12/2/2022,20:24:54,0.171
12/2/2022,20:24:55,0.172
12/2/2022,20:24:56,0.193
12/2/2022,20:24:57,0.186
12/2/2022,20:24:58,0.195
12/2/2022,20:24:59,0.173
12/2/2022,20:25:00,0.195
12/2/2022,20:25:01,0.185
12/2/2022,20:25:02,0.227
12/2/2022,20:25:03,0.188
12/2/2022,20:25:04,0.186
12/2/2022,20:25:05,0.188
12/2/2022,20:25:06,0.216
12/2/2022,20:25:07,0.188
12/2/2022,20:25:08,0.187
12/2/2022,20:25:09,0.218
12/2/2022,20:25:10,0.151
12/2/2022,20:25:11,0.184
12/2/2022,20:25:12,0.18
12/2/2022,20:25:13,0.164
12/2/2022,20:25:14,0.144
12/2/2022,20:25:15,0.193
12/2/2022,20:25:16,0.186
12/2/2022,20:25:17,0.175
12/2/2022,20:25:18,0.182
12/2/2022,20:25:19,0.19
12/2/2022,20:25:20,0.174
12/2/2022,20:25:21,0.217
12/2/2022,20:25:22,0.197
12/2/2022,20:25:23,0.238
12/2/2022,20:25:24,0.202
12/2/2022,20:25:25,0.191
12/2/2022,20:25:26,0.211
12/2/2022,20:25:27,0.235
12/2/2022,20:25:28,0.156
12/2/2022,20:25:29,0.168
12/2/2022,20:25:30,0.175
12/2/2022,20:25:31,0.17
12/2/2022,20:25:32,0.151
12/2/2022,20:25:33,0.158
12/2/2022,20:25:34,0.189
12/2/2022,20:25:35,0.169
12/2/2022,20:25:36,0.16
12/2/2022,20:25:37,0.165
12/2/2022,20:25:38,0.199
12/2/2022,20:25:39,0.178
12/2/2022,20:25:40,0.194
12/2/2022,20:25:41,0.193
12/2/2022,20:25:42,0.202
12/2/2022,20:25:43,0.184
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,21:24:44,0.208
12/2/2022,21:24:45,0.188
12/2/2022,21:24:46,0.216
12/2/2022,21:24:47,0.205
12/2/2022,21:24:48,0.211
12/2/2022,21:24:49,0.225
12/2/2022,21:24:50,0.242
12/2/2022,21:24:51,0.212
12/2/2022,21:24:52,0.18
12/2/2022,21:24:53,0.227
12/2/2022,21:24:54,0.207
12/2/2022,21:24:55,0.216
12/2/2022,21:24:56,0.192
