TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,04/25/2022
Start Time:,12:13:29
Duration (dd:hh:mm:ss):,00:00:00:05
Log Interval (mm:ss):,00:01
Number of points:,5
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.008
,Minimum:,0.006
,Time of Minimum:,12:13:33
,Date of Minimum:,04/25/2022
,Maximum:,0.013
,Time of Maximum:,12:13:34
,Date of Maximum:,04/25/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/22/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/25/2022,12:13:30,0.007
04/25/2022,12:13:31,0.009
04/25/2022,12:13:32,0.007
04/25/2022,12:13:33,0.006
04/25/2022,12:13:34,0.013

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,04/26/2022
Start Time:,11:57:23
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.041
,Time of Minimum:,11:57:42
,Date of Minimum:,04/26/2022
,Maximum:,0.074
,Time of Maximum:,11:58:16
,Date of Maximum:,04/26/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/22/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/26/2022,11:57:24,0.042
04/26/2022,11:57:25,0.044
04/26/2022,11:57:26,0.044
04/26/2022,11:57:27,0.052
04/26/2022,11:57:28,0.046
04/26/2022,11:57:29,0.056
04/26/2022,11:57:30,0.057
04/26/2022,11:57:31,0.051
04/26/2022,11:57:32,0.054
04/26/2022,11:57:33,0.053
04/26/2022,11:57:34,0.053
04/26/2022,11:57:35,0.054
04/26/2022,11:57:36,0.054
04/26/2022,11:57:37,0.041
04/26/2022,11:57:38,0.049
04/26/2022,11:57:39,0.064
04/26/2022,11:57:40,0.051
04/26/2022,11:57:41,0.042
04/26/2022,11:57:42,0.041
04/26/2022,11:57:43,0.049
04/26/2022,11:57:44,0.053
04/26/2022,11:57:45,0.048
04/26/2022,11:57:46,0.052
04/26/2022,11:57:47,0.064
04/26/2022,11:57:48,0.057
04/26/2022,11:57:49,0.056
04/26/2022,11:57:50,0.058
04/26/2022,11:57:51,0.067
04/26/2022,11:57:52,0.059
04/26/2022,11:57:53,0.063
04/26/2022,11:57:54,0.062
04/26/2022,11:57:55,0.065
04/26/2022,11:57:56,0.058
04/26/2022,11:57:57,0.063
04/26/2022,11:57:58,0.073
04/26/2022,11:57:59,0.073
04/26/2022,11:58:00,0.065
04/26/2022,11:58:01,0.061
04/26/2022,11:58:02,0.067
04/26/2022,11:58:03,0.07
04/26/2022,11:58:04,0.062
04/26/2022,11:58:05,0.066
04/26/2022,11:58:06,0.062
04/26/2022,11:58:07,0.059
04/26/2022,11:58:08,0.058
04/26/2022,11:58:09,0.053
04/26/2022,11:58:10,0.07
04/26/2022,11:58:11,0.054
04/26/2022,11:58:12,0.065
04/26/2022,11:58:13,0.054
04/26/2022,11:58:14,0.054
04/26/2022,11:58:15,0.056
04/26/2022,11:58:16,0.074
04/26/2022,11:58:17,0.048
04/26/2022,11:58:18,0.056
04/26/2022,11:58:19,0.05
04/26/2022,11:58:20,0.07
04/26/2022,11:58:21,0.06
04/26/2022,11:58:22,0.046
04/26/2022,11:58:23,0.042

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 3
Start Date:,04/26/2022
Start Time:,12:57:24
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.051
,Minimum:,0.031
,Time of Minimum:,12:58:08
,Date of Minimum:,04/26/2022
,Maximum:,0.075
,Time of Maximum:,12:58:10
,Date of Maximum:,04/26/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/22/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/26/2022,12:57:25,0.047
04/26/2022,12:57:26,0.055
04/26/2022,12:57:27,0.045
04/26/2022,12:57:28,0.058
04/26/2022,12:57:29,0.052
04/26/2022,12:57:30,0.057
04/26/2022,12:57:31,0.051
04/26/2022,12:57:32,0.071
04/26/2022,12:57:33,0.051
04/26/2022,12:57:34,0.056
04/26/2022,12:57:35,0.056
04/26/2022,12:57:36,0.06
04/26/2022,12:57:37,0.055
04/26/2022,12:57:38,0.052
04/26/2022,12:57:39,0.07
04/26/2022,12:57:40,0.047
04/26/2022,12:57:41,0.052
04/26/2022,12:57:42,0.051
04/26/2022,12:57:43,0.04
04/26/2022,12:57:44,0.043
04/26/2022,12:57:45,0.042
04/26/2022,12:57:46,0.039
04/26/2022,12:57:47,0.042
04/26/2022,12:57:48,0.044
04/26/2022,12:57:49,0.055
04/26/2022,12:57:50,0.048
04/26/2022,12:57:51,0.056
04/26/2022,12:57:52,0.061
04/26/2022,12:57:53,0.042
04/26/2022,12:57:54,0.044
04/26/2022,12:57:55,0.043
04/26/2022,12:57:56,0.051
04/26/2022,12:57:57,0.048
04/26/2022,12:57:58,0.05
04/26/2022,12:57:59,0.048
04/26/2022,12:58:00,0.048
04/26/2022,12:58:01,0.074
04/26/2022,12:58:02,0.056
04/26/2022,12:58:03,0.048
04/26/2022,12:58:04,0.051
04/26/2022,12:58:05,0.042
04/26/2022,12:58:06,0.035
04/26/2022,12:58:07,0.038
04/26/2022,12:58:08,0.031
04/26/2022,12:58:09,0.036
04/26/2022,12:58:10,0.075
04/26/2022,12:58:11,0.041
04/26/2022,12:58:12,0.042
04/26/2022,12:58:13,0.055
04/26/2022,12:58:14,0.048
04/26/2022,12:58:15,0.053
04/26/2022,12:58:16,0.067
04/26/2022,12:58:17,0.049
04/26/2022,12:58:18,0.047
04/26/2022,12:58:19,0.062
04/26/2022,12:58:20,0.053
04/26/2022,12:58:21,0.05
04/26/2022,12:58:22,0.054
04/26/2022,12:58:23,0.054
04/26/2022,12:58:24,0.049

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 4
Start Date:,04/26/2022
Start Time:,01:57:24
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.054
,Minimum:,0.043
,Time of Minimum:,01:57:56
,Date of Minimum:,04/26/2022
,Maximum:,0.078
,Time of Maximum:,01:57:50
,Date of Maximum:,04/26/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/22/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/26/2022,13:57:25,0.049
04/26/2022,13:57:26,0.058
04/26/2022,13:57:27,0.051
04/26/2022,13:57:28,0.048
04/26/2022,13:57:29,0.061
04/26/2022,13:57:30,0.051
04/26/2022,13:57:31,0.062
04/26/2022,13:57:32,0.049
04/26/2022,13:57:33,0.051
04/26/2022,13:57:34,0.052
04/26/2022,13:57:35,0.052
04/26/2022,13:57:36,0.044
04/26/2022,13:57:37,0.049
04/26/2022,13:57:38,0.054
04/26/2022,13:57:39,0.046
04/26/2022,13:57:40,0.051
04/26/2022,13:57:41,0.051
04/26/2022,13:57:42,0.058
04/26/2022,13:57:43,0.049
04/26/2022,13:57:44,0.058
04/26/2022,13:57:45,0.048
04/26/2022,13:57:46,0.047
04/26/2022,13:57:47,0.05
04/26/2022,13:57:48,0.054
04/26/2022,13:57:49,0.052
04/26/2022,13:57:50,0.078
04/26/2022,13:57:51,0.062
04/26/2022,13:57:52,0.058
04/26/2022,13:57:53,0.062
04/26/2022,13:57:54,0.054
04/26/2022,13:57:55,0.059
04/26/2022,13:57:56,0.043
04/26/2022,13:57:57,0.067
04/26/2022,13:57:58,0.051
04/26/2022,13:57:59,0.066
04/26/2022,13:58:00,0.072
04/26/2022,13:58:01,0.056
04/26/2022,13:58:02,0.051
04/26/2022,13:58:03,0.047
04/26/2022,13:58:04,0.056
04/26/2022,13:58:05,0.053
04/26/2022,13:58:06,0.074
04/26/2022,13:58:07,0.047
04/26/2022,13:58:08,0.045
04/26/2022,13:58:09,0.048
04/26/2022,13:58:10,0.046
04/26/2022,13:58:11,0.068
04/26/2022,13:58:12,0.052
04/26/2022,13:58:13,0.049
04/26/2022,13:58:14,0.057
04/26/2022,13:58:15,0.064
04/26/2022,13:58:16,0.051
04/26/2022,13:58:17,0.062
04/26/2022,13:58:18,0.051
04/26/2022,13:58:19,0.048
04/26/2022,13:58:20,0.054
04/26/2022,13:58:21,0.052
04/26/2022,13:58:22,0.047
04/26/2022,13:58:23,0.05
04/26/2022,13:58:24,0.064

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 5
Start Date:,04/26/2022
Start Time:,02:57:24
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.052
,Minimum:,0.038
,Time of Minimum:,02:58:01
,Date of Minimum:,04/26/2022
,Maximum:,0.088
,Time of Maximum:,02:57:26
,Date of Maximum:,04/26/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/22/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/26/2022,14:57:25,0.062
04/26/2022,14:57:26,0.088
04/26/2022,14:57:27,0.06
04/26/2022,14:57:28,0.052
04/26/2022,14:57:29,0.048
04/26/2022,14:57:30,0.057
04/26/2022,14:57:31,0.05
04/26/2022,14:57:32,0.066
04/26/2022,14:57:33,0.057
04/26/2022,14:57:34,0.043
04/26/2022,14:57:35,0.066
04/26/2022,14:57:36,0.057
04/26/2022,14:57:37,0.072
04/26/2022,14:57:38,0.058
04/26/2022,14:57:39,0.059
04/26/2022,14:57:40,0.038
04/26/2022,14:57:41,0.049
04/26/2022,14:57:42,0.047
04/26/2022,14:57:43,0.043
04/26/2022,14:57:44,0.047
04/26/2022,14:57:45,0.04
04/26/2022,14:57:46,0.045
04/26/2022,14:57:47,0.048
