TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,06/07/2022
Start Time:,12:47:16
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.039
,Time of Minimum:,12:47:57
,Date of Minimum:,06/07/2022
,Maximum:,0.102
,Time of Maximum:,12:47:54
,Date of Maximum:,06/07/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/07/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/07/2022,12:47:17,0.066
06/07/2022,12:47:18,0.062
06/07/2022,12:47:19,0.046
06/07/2022,12:47:20,0.057
06/07/2022,12:47:21,0.061
06/07/2022,12:47:22,0.062
06/07/2022,12:47:23,0.056
06/07/2022,12:47:24,0.068
06/07/2022,12:47:25,0.063
06/07/2022,12:47:26,0.052
06/07/2022,12:47:27,0.06
06/07/2022,12:47:28,0.048
06/07/2022,12:47:29,0.05
06/07/2022,12:47:30,0.052
06/07/2022,12:47:31,0.051
06/07/2022,12:47:32,0.056
06/07/2022,12:47:33,0.058
06/07/2022,12:47:34,0.055
06/07/2022,12:47:35,0.069
06/07/2022,12:47:36,0.068
06/07/2022,12:47:37,0.057
06/07/2022,12:47:38,0.059
06/07/2022,12:47:39,0.056
06/07/2022,12:47:40,0.065
06/07/2022,12:47:41,0.052
06/07/2022,12:47:42,0.063
06/07/2022,12:47:43,0.066
06/07/2022,12:47:44,0.049
06/07/2022,12:47:45,0.048
06/07/2022,12:47:46,0.056
06/07/2022,12:47:47,0.046
06/07/2022,12:47:48,0.06
06/07/2022,12:47:49,0.047
06/07/2022,12:47:50,0.067
06/07/2022,12:47:51,0.051
06/07/2022,12:47:52,0.047
06/07/2022,12:47:53,0.047
06/07/2022,12:47:54,0.102
06/07/2022,12:47:55,0.045
06/07/2022,12:47:56,0.042
06/07/2022,12:47:57,0.039
06/07/2022,12:47:58,0.049
06/07/2022,12:47:59,0.043
06/07/2022,12:48:00,0.045
06/07/2022,12:48:01,0.045
06/07/2022,12:48:02,0.054
06/07/2022,12:48:03,0.052
06/07/2022,12:48:04,0.068
06/07/2022,12:48:05,0.078
06/07/2022,12:48:06,0.047
06/07/2022,12:48:07,0.063
06/07/2022,12:48:08,0.062
06/07/2022,12:48:09,0.064
06/07/2022,12:48:10,0.053
06/07/2022,12:48:11,0.062
06/07/2022,12:48:12,0.061
06/07/2022,12:48:13,0.067
06/07/2022,12:48:14,0.053
06/07/2022,12:48:15,0.047
06/07/2022,12:48:16,0.051

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,06/07/2022
Start Time:,01:47:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.077
,Minimum:,0.049
,Time of Minimum:,01:47:30
,Date of Minimum:,06/07/2022
,Maximum:,0.146
,Time of Maximum:,01:47:48
,Date of Maximum:,06/07/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/07/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/07/2022,13:47:18,0.097
06/07/2022,13:47:19,0.089
06/07/2022,13:47:20,0.082
06/07/2022,13:47:21,0.073
06/07/2022,13:47:22,0.075
06/07/2022,13:47:23,0.08
06/07/2022,13:47:24,0.063
06/07/2022,13:47:25,0.069
06/07/2022,13:47:26,0.065
06/07/2022,13:47:27,0.088
06/07/2022,13:47:28,0.118
06/07/2022,13:47:29,0.068
06/07/2022,13:47:30,0.049
06/07/2022,13:47:31,0.061
06/07/2022,13:47:32,0.059
06/07/2022,13:47:33,0.07
06/07/2022,13:47:34,0.053
06/07/2022,13:47:35,0.062
06/07/2022,13:47:36,0.063
06/07/2022,13:47:37,0.071
06/07/2022,13:47:38,0.094
06/07/2022,13:47:39,0.076
06/07/2022,13:47:40,0.071
06/07/2022,13:47:41,0.071
06/07/2022,13:47:42,0.104
06/07/2022,13:47:43,0.075
06/07/2022,13:47:44,0.076
06/07/2022,13:47:45,0.065
06/07/2022,13:47:46,0.074
06/07/2022,13:47:47,0.084
06/07/2022,13:47:48,0.146
06/07/2022,13:47:49,0.099
06/07/2022,13:47:50,0.099
06/07/2022,13:47:51,0.109
06/07/2022,13:47:52,0.08
06/07/2022,13:47:53,0.068
06/07/2022,13:47:54,0.08
06/07/2022,13:47:55,0.086
06/07/2022,13:47:56,0.083
06/07/2022,13:47:57,0.084
06/07/2022,13:47:58,0.085
06/07/2022,13:47:59,0.136
06/07/2022,13:48:00,0.068
06/07/2022,13:48:01,0.061
06/07/2022,13:48:02,0.096
06/07/2022,13:48:03,0.081
06/07/2022,13:48:04,0.075
06/07/2022,13:48:05,0.089
06/07/2022,13:48:06,0.076
06/07/2022,13:48:07,0.051
06/07/2022,13:48:08,0.059
06/07/2022,13:48:09,0.055
06/07/2022,13:48:10,0.056
06/07/2022,13:48:11,0.074
06/07/2022,13:48:12,0.053
06/07/2022,13:48:13,0.059
06/07/2022,13:48:14,0.061
06/07/2022,13:48:15,0.062
06/07/2022,13:48:16,0.067
06/07/2022,13:48:17,0.06

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 3
Start Date:,06/07/2022
Start Time:,02:47:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.156
,Minimum:,0.117
,Time of Minimum:,02:47:47
,Date of Minimum:,06/07/2022
,Maximum:,0.195
,Time of Maximum:,02:48:14
,Date of Maximum:,06/07/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/07/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/07/2022,14:47:18,0.178
06/07/2022,14:47:19,0.179
06/07/2022,14:47:20,0.163
06/07/2022,14:47:21,0.163
06/07/2022,14:47:22,0.169
06/07/2022,14:47:23,0.165
06/07/2022,14:47:24,0.191
06/07/2022,14:47:25,0.155
06/07/2022,14:47:26,0.169
06/07/2022,14:47:27,0.159
06/07/2022,14:47:28,0.163
