TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,06/07/2022
Start Time:,11:37:00
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.018
,Minimum:,0.007
,Time of Minimum:,11:37:45
,Date of Minimum:,06/07/2022
,Maximum:,0.047
,Time of Maximum:,11:37:08
,Date of Maximum:,06/07/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/07/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/07/2022,11:37:01,0.021
06/07/2022,11:37:02,0.015
06/07/2022,11:37:03,0.016
06/07/2022,11:37:04,0.028
06/07/2022,11:37:05,0.027
06/07/2022,11:37:06,0.035
06/07/2022,11:37:07,0.038
06/07/2022,11:37:08,0.047
06/07/2022,11:37:09,0.025
06/07/2022,11:37:10,0.028
06/07/2022,11:37:11,0.019
06/07/2022,11:37:12,0.011
06/07/2022,11:37:13,0.008
06/07/2022,11:37:14,0.013
06/07/2022,11:37:15,0.012
06/07/2022,11:37:16,0.011
06/07/2022,11:37:17,0.012
06/07/2022,11:37:18,0.012
06/07/2022,11:37:19,0.009
06/07/2022,11:37:20,0.008
06/07/2022,11:37:21,0.017
06/07/2022,11:37:22,0.023
06/07/2022,11:37:23,0.012
06/07/2022,11:37:24,0.012
06/07/2022,11:37:25,0.017
06/07/2022,11:37:26,0.018
06/07/2022,11:37:27,0.024
06/07/2022,11:37:28,0.027
06/07/2022,11:37:29,0.02
06/07/2022,11:37:30,0.022
06/07/2022,11:37:31,0.02
06/07/2022,11:37:32,0.021
06/07/2022,11:37:33,0.03
06/07/2022,11:37:34,0.021
06/07/2022,11:37:35,0.03
06/07/2022,11:37:36,0.016
06/07/2022,11:37:37,0.021
06/07/2022,11:37:38,0.012
06/07/2022,11:37:39,0.01
06/07/2022,11:37:40,0.016
06/07/2022,11:37:41,0.013
06/07/2022,11:37:42,0.009
06/07/2022,11:37:43,0.008
06/07/2022,11:37:44,0.012
06/07/2022,11:37:45,0.007
06/07/2022,11:37:46,0.008
06/07/2022,11:37:47,0.014
06/07/2022,11:37:48,0.013
06/07/2022,11:37:49,0.01
06/07/2022,11:37:50,0.017
06/07/2022,11:37:51,0.014
06/07/2022,11:37:52,0.013
06/07/2022,11:37:53,0.014
06/07/2022,11:37:54,0.015
06/07/2022,11:37:55,0.017
06/07/2022,11:37:56,0.025
06/07/2022,11:37:57,0.02
06/07/2022,11:37:58,0.022
06/07/2022,11:37:59,0.026
06/07/2022,11:38:00,0.02

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,06/07/2022
Start Time:,12:37:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

