TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,12/10/2021
Start Time:,11:43:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.122
,Minimum:,0.095
,Time of Minimum:,11:44:00
,Date of Minimum:,12/10/2021
,Maximum:,0.149
,Time of Maximum:,11:44:18
,Date of Maximum:,12/10/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,12/10/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
12/10/2021,11:43:42,0.129
12/10/2021,11:43:43,0.118
12/10/2021,11:43:44,0.126
12/10/2021,11:43:45,0.143
12/10/2021,11:43:46,0.12
12/10/2021,11:43:47,0.118
12/10/2021,11:43:48,0.111
12/10/2021,11:43:49,0.12
12/10/2021,11:43:50,0.138
12/10/2021,11:43:51,0.127
12/10/2021,11:43:52,0.111
12/10/2021,11:43:53,0.121
12/10/2021,11:43:54,0.123
12/10/2021,11:43:55,0.096
12/10/2021,11:43:56,0.104
12/10/2021,11:43:57,0.135
12/10/2021,11:43:58,0.119
12/10/2021,11:43:59,0.102
12/10/2021,11:44:00,0.095
12/10/2021,11:44:01,0.105
12/10/2021,11:44:02,0.105
12/10/2021,11:44:03,0.134
12/10/2021,11:44:04,0.113
12/10/2021,11:44:05,0.146
12/10/2021,11:44:06,0.115
12/10/2021,11:44:07,0.137
12/10/2021,11:44:08,0.105
12/10/2021,11:44:09,0.105
12/10/2021,11:44:10,0.114
12/10/2021,11:44:11,0.134
12/10/2021,11:44:12,0.14
12/10/2021,11:44:13,0.134
12/10/2021,11:44:14,0.14
12/10/2021,11:44:15,0.137
12/10/2021,11:44:16,0.12
12/10/2021,11:44:17,0.131
12/10/2021,11:44:18,0.149
12/10/2021,11:44:19,0.107
12/10/2021,11:44:20,0.129
12/10/2021,11:44:21,0.131
12/10/2021,11:44:22,0.126
12/10/2021,11:44:23,0.136
12/10/2021,11:44:24,0.129
12/10/2021,11:44:25,0.114
12/10/2021,11:44:26,0.12
12/10/2021,11:44:27,0.123
12/10/2021,11:44:28,0.13
12/10/2021,11:44:29,0.145
12/10/2021,11:44:30,0.123
12/10/2021,11:44:31,0.123
12/10/2021,11:44:32,0.134
12/10/2021,11:44:33,0.14
12/10/2021,11:44:34,0.113
12/10/2021,11:44:35,0.137
12/10/2021,11:44:36,0.109
12/10/2021,11:44:37,0.112
12/10/2021,11:44:38,0.106
12/10/2021,11:44:39,0.105
12/10/2021,11:44:40,0.101
12/10/2021,11:44:41,0.104

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,12/10/2021
Start Time:,12:43:42
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.09
,Minimum:,0.065
,Time of Minimum:,12:43:45
,Date of Minimum:,12/10/2021
,Maximum:,0.133
,Time of Maximum:,12:44:30
,Date of Maximum:,12/10/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,12/10/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
12/10/2021,12:43:43,0.093
12/10/2021,12:43:44,0.091
12/10/2021,12:43:45,0.065
12/10/2021,12:43:46,0.074
12/10/2021,12:43:47,0.081
12/10/2021,12:43:48,0.09
12/10/2021,12:43:49,0.101
12/10/2021,12:43:50,0.092
12/10/2021,12:43:51,0.114
12/10/2021,12:43:52,0.101
12/10/2021,12:43:53,0.067
