TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,10/16/2020
Start Time:,10:23:51
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.063
,Time of Minimum:,10:24:50
,Date of Minimum:,10/16/2020
,Maximum:,0.124
,Time of Maximum:,10:24:30
,Date of Maximum:,10/16/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/16/2020
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/16/2020,10:23:52,0.081
10/16/2020,10:23:53,0.064
10/16/2020,10:23:54,0.082
10/16/2020,10:23:55,0.113
10/16/2020,10:23:56,0.081
10/16/2020,10:23:57,0.101
10/16/2020,10:23:58,0.081
10/16/2020,10:23:59,0.088
10/16/2020,10:24:00,0.083
10/16/2020,10:24:01,0.111
10/16/2020,10:24:02,0.081
10/16/2020,10:24:03,0.077
10/16/2020,10:24:04,0.097
10/16/2020,10:24:05,0.065
10/16/2020,10:24:06,0.071
10/16/2020,10:24:07,0.065
10/16/2020,10:24:08,0.079
10/16/2020,10:24:09,0.08
10/16/2020,10:24:10,0.069
10/16/2020,10:24:11,0.087
10/16/2020,10:24:12,0.097
10/16/2020,10:24:13,0.085
10/16/2020,10:24:14,0.09
10/16/2020,10:24:15,0.066
10/16/2020,10:24:16,0.079
10/16/2020,10:24:17,0.085
10/16/2020,10:24:18,0.082
10/16/2020,10:24:19,0.079
10/16/2020,10:24:20,0.067
10/16/2020,10:24:21,0.114
10/16/2020,10:24:22,0.086
10/16/2020,10:24:23,0.086
10/16/2020,10:24:24,0.091
10/16/2020,10:24:25,0.076
10/16/2020,10:24:26,0.08
10/16/2020,10:24:27,0.073
10/16/2020,10:24:28,0.073
10/16/2020,10:24:29,0.074
10/16/2020,10:24:30,0.124
10/16/2020,10:24:31,0.089
10/16/2020,10:24:32,0.069
10/16/2020,10:24:33,0.081
10/16/2020,10:24:34,0.082
10/16/2020,10:24:35,0.089
10/16/2020,10:24:36,0.071
10/16/2020,10:24:37,0.078
10/16/2020,10:24:38,0.063
10/16/2020,10:24:39,0.095
10/16/2020,10:24:40,0.079
10/16/2020,10:24:41,0.073
10/16/2020,10:24:42,0.074
10/16/2020,10:24:43,0.077
10/16/2020,10:24:44,0.08
10/16/2020,10:24:45,0.066
10/16/2020,10:24:46,0.065
