TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,08/25/2020
Start Time:,09:28:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.087
,Minimum:,0.072
,Time of Minimum:,09:29:28
,Date of Minimum:,08/25/2020
,Maximum:,0.128
,Time of Maximum:,09:28:47
,Date of Maximum:,08/25/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/25/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/25/2020,09:28:45,0.085
08/25/2020,09:28:46,0.076
08/25/2020,09:28:47,0.128
08/25/2020,09:28:48,0.077
08/25/2020,09:28:49,0.073
08/25/2020,09:28:50,0.08
08/25/2020,09:28:51,0.082
08/25/2020,09:28:52,0.081
08/25/2020,09:28:53,0.087
08/25/2020,09:28:54,0.08
08/25/2020,09:28:55,0.091
08/25/2020,09:28:56,0.095
08/25/2020,09:28:57,0.081
08/25/2020,09:28:58,0.086
08/25/2020,09:28:59,0.084
08/25/2020,09:29:00,0.102
08/25/2020,09:29:01,0.1
08/25/2020,09:29:02,0.109
08/25/2020,09:29:03,0.097
08/25/2020,09:29:04,0.091
08/25/2020,09:29:05,0.096
08/25/2020,09:29:06,0.092
08/25/2020,09:29:07,0.088
08/25/2020,09:29:08,0.093
08/25/2020,09:29:09,0.101
08/25/2020,09:29:10,0.087
08/25/2020,09:29:11,0.084
08/25/2020,09:29:12,0.082
08/25/2020,09:29:13,0.081
08/25/2020,09:29:14,0.103
08/25/2020,09:29:15,0.078
08/25/2020,09:29:16,0.084
08/25/2020,09:29:17,0.078
08/25/2020,09:29:18,0.096
08/25/2020,09:29:19,0.084
08/25/2020,09:29:20,0.072
08/25/2020,09:29:21,0.098
08/25/2020,09:29:22,0.081
08/25/2020,09:29:23,0.079
08/25/2020,09:29:24,0.072
08/25/2020,09:29:25,0.076
08/25/2020,09:29:26,0.089
08/25/2020,09:29:27,0.08
08/25/2020,09:29:28,0.072
08/25/2020,09:29:29,0.095
08/25/2020,09:29:30,0.087
08/25/2020,09:29:31,0.083
08/25/2020,09:29:32,0.105
08/25/2020,09:29:33,0.082
08/25/2020,09:29:34,0.093
08/25/2020,09:29:35,0.078
08/25/2020,09:29:36,0.088
08/25/2020,09:29:37,0.095
08/25/2020,09:29:38,0.078
08/25/2020,09:29:39,0.097
08/25/2020,09:29:40,0.079
08/25/2020,09:29:41,0.078
08/25/2020,09:29:42,0.081
08/25/2020,09:29:43,0.088
08/25/2020,09:29:44,0.107

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,08/25/2020
Start Time:,10:28:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.087
,Minimum:,0.071
,Time of Minimum:,10:28:55
,Date of Minimum:,08/25/2020
,Maximum:,0.16
,Time of Maximum:,10:29:00
,Date of Maximum:,08/25/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/25/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/25/2020,10:28:45,0.087
08/25/2020,10:28:46,0.108
08/25/2020,10:28:47,0.094
08/25/2020,10:28:48,0.084
08/25/2020,10:28:49,0.091
08/25/2020,10:28:50,0.094
08/25/2020,10:28:51,0.083
08/25/2020,10:28:52,0.078
08/25/2020,10:28:53,0.084
08/25/2020,10:28:54,0.093
08/25/2020,10:28:55,0.071
08/25/2020,10:28:56,0.091
08/25/2020,10:28:57,0.082
08/25/2020,10:28:58,0.082
08/25/2020,10:28:59,0.094
08/25/2020,10:29:00,0.16
08/25/2020,10:29:01,0.086
08/25/2020,10:29:02,0.079
08/25/2020,10:29:03,0.084
08/25/2020,10:29:04,0.073
08/25/2020,10:29:05,0.085
08/25/2020,10:29:06,0.086
08/25/2020,10:29:07,0.079
08/25/2020,10:29:08,0.093
08/25/2020,10:29:09,0.075
08/25/2020,10:29:10,0.089
08/25/2020,10:29:11,0.081
08/25/2020,10:29:12,0.087
08/25/2020,10:29:13,0.103
08/25/2020,10:29:14,0.08
08/25/2020,10:29:15,0.084
08/25/2020,10:29:16,0.09
08/25/2020,10:29:17,0.099
08/25/2020,10:29:18,0.08
08/25/2020,10:29:19,0.093
08/25/2020,10:29:20,0.091
08/25/2020,10:29:21,0.08
08/25/2020,10:29:22,0.091
08/25/2020,10:29:23,0.077
08/25/2020,10:29:24,0.081
08/25/2020,10:29:25,0.099
08/25/2020,10:29:26,0.095
08/25/2020,10:29:27,0.087
08/25/2020,10:29:28,0.076
08/25/2020,10:29:29,0.1
08/25/2020,10:29:30,0.09
08/25/2020,10:29:31,0.081
08/25/2020,10:29:32,0.085
08/25/2020,10:29:33,0.079
08/25/2020,10:29:34,0.089
08/25/2020,10:29:35,0.086
08/25/2020,10:29:36,0.072
08/25/2020,10:29:37,0.078
08/25/2020,10:29:38,0.079
08/25/2020,10:29:39,0.078
08/25/2020,10:29:40,0.091
08/25/2020,10:29:41,0.081
08/25/2020,10:29:42,0.089
08/25/2020,10:29:43,0.091
08/25/2020,10:29:44,0.088

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 3
Start Date:,08/25/2020
Start Time:,11:28:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.111
,Minimum:,0.091
,Time of Minimum:,11:28:57
,Date of Minimum:,08/25/2020
,Maximum:,0.141
,Time of Maximum:,11:29:37
,Date of Maximum:,08/25/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/25/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/25/2020,11:28:45,0.105
08/25/2020,11:28:46,0.097
08/25/2020,11:28:47,0.098
08/25/2020,11:28:48,0.092
08/25/2020,11:28:49,0.11
08/25/2020,11:28:50,0.093
08/25/2020,11:28:51,0.114
08/25/2020,11:28:52,0.114
08/25/2020,11:28:53,0.109
08/25/2020,11:28:54,0.1
08/25/2020,11:28:55,0.135
08/25/2020,11:28:56,0.108
08/25/2020,11:28:57,0.091
08/25/2020,11:28:58,0.097
08/25/2020,11:28:59,0.105
08/25/2020,11:29:00,0.101
08/25/2020,11:29:01,0.103
08/25/2020,11:29:02,0.105
08/25/2020,11:29:03,0.111
08/25/2020,11:29:04,0.119
08/25/2020,11:29:05,0.102
08/25/2020,11:29:06,0.121
08/25/2020,11:29:07,0.121
08/25/2020,11:29:08,0.116
08/25/2020,11:29:09,0.132
08/25/2020,11:29:10,0.115
08/25/2020,11:29:11,0.109
08/25/2020,11:29:12,0.126
08/25/2020,11:29:13,0.106
08/25/2020,11:29:14,0.115
08/25/2020,11:29:15,0.129
08/25/2020,11:29:16,0.118
08/25/2020,11:29:17,0.106
08/25/2020,11:29:18,0.125
08/25/2020,11:29:19,0.125
08/25/2020,11:29:20,0.119
08/25/2020,11:29:21,0.108
08/25/2020,11:29:22,0.119
08/25/2020,11:29:23,0.139
08/25/2020,11:29:24,0.106
08/25/2020,11:29:25,0.099
08/25/2020,11:29:26,0.113
08/25/2020,11:29:27,0.115
08/25/2020,11:29:28,0.117
08/25/2020,11:29:29,0.107
08/25/2020,11:29:30,0.104
08/25/2020,11:29:31,0.104
08/25/2020,11:29:32,0.108
08/25/2020,11:29:33,0.118
08/25/2020,11:29:34,0.101
08/25/2020,11:29:35,0.107
08/25/2020,11:29:36,0.114
08/25/2020,11:29:37,0.141
08/25/2020,11:29:38,0.1
08/25/2020,11:29:39,0.109
08/25/2020,11:29:40,0.1
08/25/2020,11:29:41,0.112
08/25/2020,11:29:42,0.098
08/25/2020,11:29:43,0.11
08/25/2020,11:29:44,0.107

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 4
Start Date:,08/25/2020
Start Time:,12:28:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.115
,Minimum:,0.091
,Time of Minimum:,12:28:57
,Date of Minimum:,08/25/2020
,Maximum:,0.142
,Time of Maximum:,12:29:35
,Date of Maximum:,08/25/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/25/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/25/2020,12:28:45,0.116
08/25/2020,12:28:46,0.117
08/25/2020,12:28:47,0.128
08/25/2020,12:28:48,0.117
08/25/2020,12:28:49,0.124
08/25/2020,12:28:50,0.114
08/25/2020,12:28:51,0.118
08/25/2020,12:28:52,0.111
08/25/2020,12:28:53,0.107
08/25/2020,12:28:54,0.104
08/25/2020,12:28:55,0.103
08/25/2020,12:28:56,0.116
08/25/2020,12:28:57,0.091
08/25/2020,12:28:58,0.095
08/25/2020,12:28:59,0.122
08/25/2020,12:29:00,0.107
08/25/2020,12:29:01,0.13
08/25/2020,12:29:02,0.1
08/25/2020,12:29:03,0.119
08/25/2020,12:29:04,0.106
08/25/2020,12:29:05,0.114
08/25/2020,12:29:06,0.112
08/25/2020,12:29:07,0.132
08/25/2020,12:29:08,0.117
08/25/2020,12:29:09,0.134
08/25/2020,12:29:10,0.117
08/25/2020,12:29:11,0.12
08/25/2020,12:29:12,0.106
08/25/2020,12:29:13,0.139
08/25/2020,12:29:14,0.099
08/25/2020,12:29:15,0.121
08/25/2020,12:29:16,0.126
08/25/2020,12:29:17,0.118
08/25/2020,12:29:18,0.112
08/25/2020,12:29:19,0.115
08/25/2020,12:29:20,0.131
08/25/2020,12:29:21,0.109
08/25/2020,12:29:22,0.114
