TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,01/20/2021
Start Time:,01:47:16
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.03
,Minimum:,0
,Time of Minimum:,01:47:37
,Date of Minimum:,01/20/2021
,Maximum:,0.161
,Time of Maximum:,01:47:22
,Date of Maximum:,01/20/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,01/20/2021
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
01/20/2021,13:47:17,0.004
01/20/2021,13:47:18,0.043
01/20/2021,13:47:19,0.042
01/20/2021,13:47:20,0
01/20/2021,13:47:21,0.098
01/20/2021,13:47:22,0.161
01/20/2021,13:47:23,0
01/20/2021,13:47:24,0.034
01/20/2021,13:47:25,0.031
01/20/2021,13:47:26,0.033
01/20/2021,13:47:27,0
01/20/2021,13:47:28,0.037
01/20/2021,13:47:29,0.006
01/20/2021,13:47:30,0.051
01/20/2021,13:47:31,0.056
01/20/2021,13:47:32,0.046
01/20/2021,13:47:33,0.021
01/20/2021,13:47:34,0.017
01/20/2021,13:47:35,0.01
01/20/2021,13:47:36,0.018
01/20/2021,13:47:37,0
01/20/2021,13:47:38,0.076
01/20/2021,13:47:39,0.041
01/20/2021,13:47:40,0.023
01/20/2021,13:47:41,0.02
01/20/2021,13:47:42,0.033
01/20/2021,13:47:43,0.017
01/20/2021,13:47:44,0.021
01/20/2021,13:47:45,0.021
01/20/2021,13:47:46,0.02
01/20/2021,13:47:47,0.033
01/20/2021,13:47:48,0.024
01/20/2021,13:47:49,0.029
01/20/2021,13:47:50,0.029
01/20/2021,13:47:51,0.031
01/20/2021,13:47:52,0.027
01/20/2021,13:47:53,0.029
01/20/2021,13:47:54,0.027
01/20/2021,13:47:55,0.034
01/20/2021,13:47:56,0.03
01/20/2021,13:47:57,0.026
01/20/2021,13:47:58,0.02
01/20/2021,13:47:59,0.024
01/20/2021,13:48:00,0.015
01/20/2021,13:48:01,0.016
01/20/2021,13:48:02,0.031
01/20/2021,13:48:03,0.02
01/20/2021,13:48:04,0.022
01/20/2021,13:48:05,0.038
01/20/2021,13:48:06,0.022
01/20/2021,13:48:07,0.031
01/20/2021,13:48:08,0.031
01/20/2021,13:48:09,0.027
01/20/2021,13:48:10,0.031
01/20/2021,13:48:11,0.034
01/20/2021,13:48:12,0.032
01/20/2021,13:48:13,0.028
01/20/2021,13:48:14,0.024
01/20/2021,13:48:15,0.026
01/20/2021,13:48:16,0.021

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,01/20/2021
Start Time:,02:47:16
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.027
,Minimum:,0.019
,Time of Minimum:,02:47:58
,Date of Minimum:,01/20/2021
,Maximum:,0.048
,Time of Maximum:,02:47:35
,Date of Maximum:,01/20/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,01/20/2021
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
01/20/2021,14:47:17,0.03
01/20/2021,14:47:18,0.022
01/20/2021,14:47:19,0.021
01/20/2021,14:47:20,0.035
01/20/2021,14:47:21,0.029
01/20/2021,14:47:22,0.03
01/20/2021,14:47:23,0.025
01/20/2021,14:47:24,0.03
01/20/2021,14:47:25,0.029
01/20/2021,14:47:26,0.028
01/20/2021,14:47:27,0.029
