TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,01/04/2022
Start Time:,05:30:50
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.171
,Minimum:,0.095
,Time of Minimum:,05:30:51
,Date of Minimum:,01/04/2022
,Maximum:,0.276
,Time of Maximum:,05:31:36
,Date of Maximum:,01/04/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,01/04/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
01/04/2022,17:30:51,0.095
01/04/2022,17:30:52,0.135
01/04/2022,17:30:53,0.128
01/04/2022,17:30:54,0.154
01/04/2022,17:30:55,0.134
01/04/2022,17:30:56,0.132
01/04/2022,17:30:57,0.137
01/04/2022,17:30:58,0.099
01/04/2022,17:30:59,0.143
01/04/2022,17:31:00,0.151
01/04/2022,17:31:01,0.149
01/04/2022,17:31:02,0.114
01/04/2022,17:31:03,0.122
01/04/2022,17:31:04,0.13
01/04/2022,17:31:05,0.11
01/04/2022,17:31:06,0.128
01/04/2022,17:31:07,0.11
01/04/2022,17:31:08,0.114
01/04/2022,17:31:09,0.108
01/04/2022,17:31:10,0.166
01/04/2022,17:31:11,0.145
01/04/2022,17:31:12,0.141
01/04/2022,17:31:13,0.157
01/04/2022,17:31:14,0.171
01/04/2022,17:31:15,0.159
01/04/2022,17:31:16,0.223
01/04/2022,17:31:17,0.149
01/04/2022,17:31:18,0.168
01/04/2022,17:31:19,0.171
01/04/2022,17:31:20,0.179
01/04/2022,17:31:21,0.178
01/04/2022,17:31:22,0.197
01/04/2022,17:31:23,0.182
01/04/2022,17:31:24,0.181
01/04/2022,17:31:25,0.168
01/04/2022,17:31:26,0.157
01/04/2022,17:31:27,0.197
01/04/2022,17:31:28,0.16
01/04/2022,17:31:29,0.177
01/04/2022,17:31:30,0.205
01/04/2022,17:31:31,0.242
01/04/2022,17:31:32,0.188
01/04/2022,17:31:33,0.248
01/04/2022,17:31:34,0.203
01/04/2022,17:31:35,0.197
01/04/2022,17:31:36,0.276
01/04/2022,17:31:37,0.217
01/04/2022,17:31:38,0.193
01/04/2022,17:31:39,0.204
01/04/2022,17:31:40,0.201
01/04/2022,17:31:41,0.218
01/04/2022,17:31:42,0.201
01/04/2022,17:31:43,0.22
01/04/2022,17:31:44,0.196
01/04/2022,17:31:45,0.197
01/04/2022,17:31:46,0.189
01/04/2022,17:31:47,0.213
01/04/2022,17:31:48,0.248
01/04/2022,17:31:49,0.196
01/04/2022,17:31:50,0.19

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,01/04/2022
Start Time:,06:30:51
Duration (dd:hh:mm:ss):,00:00:01:00
