TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,02/08/2022
Start Time:,01:55:20
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.026
,Minimum:,0
,Time of Minimum:,01:55:26
,Date of Minimum:,02/08/2022
,Maximum:,0.237
,Time of Maximum:,01:55:36
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
02/08/2022,15:55:25,0.022
02/08/2022,15:55:26,0.023
02/08/2022,15:55:27,0.029
02/08/2022,15:55:28,0.023
02/08/2022,15:55:29,0.03
02/08/2022,15:55:30,0.038
02/08/2022,15:55:31,0.023
02/08/2022,15:55:32,0.022
02/08/2022,15:55:33,0.032
02/08/2022,15:55:34,0.032
02/08/2022,15:55:35,0.041
02/08/2022,15:55:36,0.038
02/08/2022,15:55:37,0.037
02/08/2022,15:55:38,0.032
02/08/2022,15:55:39,0.019
02/08/2022,15:55:40,0.041
02/08/2022,15:55:41,0.037
02/08/2022,15:55:42,0.032
02/08/2022,15:55:43,0.032
02/08/2022,15:55:44,0.036
02/08/2022,15:55:45,0.04
02/08/2022,15:55:46,0.039
02/08/2022,15:55:47,0.046
02/08/2022,15:55:48,0.036
02/08/2022,15:55:49,0.035
02/08/2022,15:55:50,0.029
02/08/2022,15:55:51,0.05
02/08/2022,15:55:52,0.035
02/08/2022,15:55:53,0.031
02/08/2022,15:55:54,0.038
02/08/2022,15:55:55,0.054
02/08/2022,15:55:56,0.036
02/08/2022,15:55:57,0.037
02/08/2022,15:55:58,0.04
02/08/2022,15:55:59,0.032
02/08/2022,15:56:00,0.026
02/08/2022,15:56:01,0.025
02/08/2022,15:56:02,0.037
02/08/2022,15:56:03,0.031
02/08/2022,15:56:04,0.028
02/08/2022,15:56:05,0.037
02/08/2022,15:56:06,0.032
02/08/2022,15:56:07,0.032
02/08/2022,15:56:08,0.032
02/08/2022,15:56:09,0.038
02/08/2022,15:56:10,0.036
02/08/2022,15:56:11,0.031
02/08/2022,15:56:12,0.025
02/08/2022,15:56:13,0.032
02/08/2022,15:56:14,0.026
02/08/2022,15:56:15,0.016
02/08/2022,15:56:16,0.007
02/08/2022,15:56:17,0.025
02/08/2022,15:56:18,0.027
02/08/2022,15:56:19,0.03
02/08/2022,15:56:20,0.021
02/08/2022,15:56:21,0.016

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 4
Start Date:,02/08/2022
Start Time:,04:55:21
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.018
,Minimum:,0.004
,Time of Minimum:,04:56:06
,Date of Minimum:,02/08/2022
,Maximum:,0.037
,Time of Maximum:,04:55:45
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,16:55:22,0.017
02/08/2022,16:55:23,0.023
02/08/2022,16:55:24,0.021
02/08/2022,16:55:25,0.025
02/08/2022,16:55:26,0.021
02/08/2022,16:55:27,0.022
02/08/2022,16:55:28,0.015
02/08/2022,16:55:29,0.015
02/08/2022,16:55:30,0.012
02/08/2022,16:55:31,0.007
02/08/2022,16:55:32,0.007
02/08/2022,16:55:33,0.007
02/08/2022,16:55:34,0.011
02/08/2022,16:55:35,0.007
02/08/2022,16:55:36,0.004
02/08/2022,16:55:37,0.004
02/08/2022,16:55:38,0.015
02/08/2022,16:55:39,0.014
02/08/2022,16:55:40,0.012
02/08/2022,16:55:41,0.019
02/08/2022,16:55:42,0.027
02/08/2022,16:55:43,0.02
02/08/2022,16:55:44,0.016
02/08/2022,16:55:45,0.037
02/08/2022,16:55:46,0.026
02/08/2022,16:55:47,0.022
02/08/2022,16:55:48,0.025
02/08/2022,16:55:49,0.024
02/08/2022,16:55:50,0.025
02/08/2022,16:55:51,0.026
02/08/2022,16:55:52,0.016
02/08/2022,16:55:53,0.028
02/08/2022,16:55:54,0.023
02/08/2022,16:55:55,0.017
02/08/2022,16:55:56,0.011
02/08/2022,16:55:57,0.02
02/08/2022,16:55:58,0.019
02/08/2022,16:55:59,0.024
02/08/2022,16:56:00,0.028
02/08/2022,16:56:01,0.023
02/08/2022,16:56:02,0.008
02/08/2022,16:56:03,0.024
02/08/2022,16:56:04,0.008
02/08/2022,16:56:05,0.019
02/08/2022,16:56:06,0.004
02/08/2022,16:56:07,0.015
02/08/2022,16:56:08,0.013
02/08/2022,16:56:09,0.009
02/08/2022,16:56:10,0.006
02/08/2022,16:56:11,0.026
02/08/2022,16:56:12,0.013
02/08/2022,16:56:13,0.01
02/08/2022,16:56:14,0.019
02/08/2022,16:56:15,0.021
02/08/2022,16:56:16,0.017
02/08/2022,16:56:17,0.02
02/08/2022,16:56:18,0.027
02/08/2022,16:56:19,0.025
02/08/2022,16:56:20,0.028
02/08/2022,16:56:21,0.019

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 5
Start Date:,02/08/2022
Start Time:,05:55:21
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.022
,Time of Minimum:,05:55:44
,Date of Minimum:,02/08/2022
,Maximum:,0.091
,Time of Maximum:,05:56:05
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,17:55:22,0.066
02/08/2022,17:55:23,0.06
02/08/2022,17:55:24,0.065
02/08/2022,17:55:25,0.061
02/08/2022,17:55:26,0.065
02/08/2022,17:55:27,0.064
02/08/2022,17:55:28,0.055
02/08/2022,17:55:29,0.068
