TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,05/24/2022
Start Time:,12:31:17
Duration (dd:hh:mm:ss):,00:00:00:58
Log Interval (mm:ss):,00:01
Number of points:,58
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.022
,Minimum:,0.006
,Time of Minimum:,12:31:39
,Date of Minimum:,05/24/2022
,Maximum:,0.041
,Time of Maximum:,12:31:19
,Date of Maximum:,05/24/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/24/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/24/2022,12:31:18,0.027
05/24/2022,12:31:19,0.041
05/24/2022,12:31:20,0.037
05/24/2022,12:31:21,0.031
05/24/2022,12:31:22,0.03
05/24/2022,12:31:23,0.033
05/24/2022,12:31:24,0.029
05/24/2022,12:31:25,0.026
05/24/2022,12:31:26,0.025
05/24/2022,12:31:27,0.022
05/24/2022,12:31:28,0.02
05/24/2022,12:31:29,0.019
05/24/2022,12:31:30,0.021
05/24/2022,12:31:31,0.015
05/24/2022,12:31:32,0.021
05/24/2022,12:31:33,0.012
05/24/2022,12:31:34,0.02
05/24/2022,12:31:35,0.018
05/24/2022,12:31:36,0.013
05/24/2022,12:31:37,0.013
05/24/2022,12:31:38,0.012
05/24/2022,12:31:39,0.006
05/24/2022,12:31:40,0.009
05/24/2022,12:31:41,0.014
05/24/2022,12:31:42,0.008
05/24/2022,12:31:43,0.01
05/24/2022,12:31:44,0.013
05/24/2022,12:31:45,0.014
05/24/2022,12:31:46,0.018
05/24/2022,12:31:47,0.015
05/24/2022,12:31:48,0.022
05/24/2022,12:31:49,0.023
05/24/2022,12:31:50,0.024
05/24/2022,12:31:51,0.022
05/24/2022,12:31:52,0.023
05/24/2022,12:31:53,0.033
05/24/2022,12:31:54,0.033
05/24/2022,12:31:55,0.025
05/24/2022,12:31:56,0.027
05/24/2022,12:31:57,0.027
05/24/2022,12:31:58,0.026
05/24/2022,12:31:59,0.027
05/24/2022,12:32:00,0.027
05/24/2022,12:32:01,0.03
05/24/2022,12:32:02,0.025
05/24/2022,12:32:03,0.035
05/24/2022,12:32:04,0.023
05/24/2022,12:32:05,0.024
05/24/2022,12:32:06,0.027
05/24/2022,12:32:07,0.029
05/24/2022,12:32:08,0.023
05/24/2022,12:32:09,0.022
05/24/2022,12:32:10,0.025
05/24/2022,12:32:11,0.016
05/24/2022,12:32:12,0.023
05/24/2022,12:32:13,0.015
05/24/2022,12:32:14,0.011
05/24/2022,12:32:15,0.032

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 2
Start Date:,05/24/2022
Start Time:,12:32:24
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.019
,Minimum:,0.005
,Time of Minimum:,12:32:25
,Date of Minimum:,05/24/2022
,Maximum:,0.035
,Time of Maximum:,12:33:00
,Date of Maximum:,05/24/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/24/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/24/2022,12:32:25,0.005
05/24/2022,12:32:26,0.031
05/24/2022,12:32:27,0.029
05/24/2022,12:32:28,0.028
05/24/2022,12:32:29,0.029
05/24/2022,12:32:30,0.03
05/24/2022,12:32:31,0.032
05/24/2022,12:32:32,0.025
