TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,08/21/2020
Start Time:,12:27:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.032
,Minimum:,0.014
,Time of Minimum:,12:28:01
,Date of Minimum:,08/21/2020
,Maximum:,0.066
,Time of Maximum:,12:27:26
,Date of Maximum:,08/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/21/2020,12:27:02,0.029
08/21/2020,12:27:03,0.032
08/21/2020,12:27:04,0.027
08/21/2020,12:27:05,0.029
08/21/2020,12:27:06,0.029
08/21/2020,12:27:07,0.033
08/21/2020,12:27:08,0.047
08/21/2020,12:27:09,0.028
08/21/2020,12:27:10,0.021
08/21/2020,12:27:11,0.024
08/21/2020,12:27:12,0.021
08/21/2020,12:27:13,0.027
08/21/2020,12:27:14,0.03
08/21/2020,12:27:15,0.024
08/21/2020,12:27:16,0.03
08/21/2020,12:27:17,0.03
08/21/2020,12:27:18,0.02
08/21/2020,12:27:19,0.028
08/21/2020,12:27:20,0.032
08/21/2020,12:27:21,0.037
08/21/2020,12:27:22,0.026
08/21/2020,12:27:23,0.026
08/21/2020,12:27:24,0.026
08/21/2020,12:27:25,0.046
08/21/2020,12:27:26,0.066
08/21/2020,12:27:27,0.062
08/21/2020,12:27:28,0.042
08/21/2020,12:27:29,0.052
08/21/2020,12:27:30,0.037
08/21/2020,12:27:31,0.043
08/21/2020,12:27:32,0.041
08/21/2020,12:27:33,0.032
08/21/2020,12:27:34,0.037
08/21/2020,12:27:35,0.031
08/21/2020,12:27:36,0.042
08/21/2020,12:27:37,0.028
08/21/2020,12:27:38,0.053
08/21/2020,12:27:39,0.041
08/21/2020,12:27:40,0.036
08/21/2020,12:27:41,0.035
08/21/2020,12:27:42,0.042
08/21/2020,12:27:43,0.034
08/21/2020,12:27:44,0.034
08/21/2020,12:27:45,0.032
08/21/2020,12:27:46,0.035
08/21/2020,12:27:47,0.03
08/21/2020,12:27:48,0.031
08/21/2020,12:27:49,0.023
08/21/2020,12:27:50,0.035
08/21/2020,12:27:51,0.027
08/21/2020,12:27:52,0.029
08/21/2020,12:27:53,0.023
08/21/2020,12:27:54,0.021
08/21/2020,12:27:55,0.027
08/21/2020,12:27:56,0.015
08/21/2020,12:27:57,0.029
08/21/2020,12:27:58,0.024
08/21/2020,12:27:59,0.021
08/21/2020,12:28:00,0.032
08/21/2020,12:28:01,0.014

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 2
Start Date:,08/21/2020
Start Time:,01:27:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.031
,Minimum:,0.019
,Time of Minimum:,01:27:23
,Date of Minimum:,08/21/2020
,Maximum:,0.07
,Time of Maximum:,01:28:01
,Date of Maximum:,08/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/21/2020,13:27:02,0.037
08/21/2020,13:27:03,0.028
08/21/2020,13:27:04,0.047
08/21/2020,13:27:05,0.032
08/21/2020,13:27:06,0.046
08/21/2020,13:27:07,0.037
08/21/2020,13:27:08,0.03
08/21/2020,13:27:09,0.027
08/21/2020,13:27:10,0.033
08/21/2020,13:27:11,0.027
08/21/2020,13:27:12,0.025
08/21/2020,13:27:13,0.022
08/21/2020,13:27:14,0.024
08/21/2020,13:27:15,0.028
08/21/2020,13:27:16,0.029
08/21/2020,13:27:17,0.027
08/21/2020,13:27:18,0.028
08/21/2020,13:27:19,0.028
08/21/2020,13:27:20,0.029
08/21/2020,13:27:21,0.025
08/21/2020,13:27:22,0.022
08/21/2020,13:27:23,0.019
08/21/2020,13:27:24,0.025
08/21/2020,13:27:25,0.021
08/21/2020,13:27:26,0.02
08/21/2020,13:27:27,0.022
08/21/2020,13:27:28,0.022
08/21/2020,13:27:29,0.022
08/21/2020,13:27:30,0.021
08/21/2020,13:27:31,0.023
08/21/2020,13:27:32,0.024
08/21/2020,13:27:33,0.027
08/21/2020,13:27:34,0.024
08/21/2020,13:27:35,0.036
08/21/2020,13:27:36,0.024
08/21/2020,13:27:37,0.023
08/21/2020,13:27:38,0.029
08/21/2020,13:27:39,0.021
08/21/2020,13:27:40,0.042
08/21/2020,13:27:41,0.026
08/21/2020,13:27:42,0.031
08/21/2020,13:27:43,0.043
08/21/2020,13:27:44,0.032
08/21/2020,13:27:45,0.036
08/21/2020,13:27:46,0.03
08/21/2020,13:27:47,0.025
08/21/2020,13:27:48,0.03
08/21/2020,13:27:49,0.045
08/21/2020,13:27:50,0.033
08/21/2020,13:27:51,0.033
08/21/2020,13:27:52,0.027
08/21/2020,13:27:53,0.041
08/21/2020,13:27:54,0.046
08/21/2020,13:27:55,0.04
08/21/2020,13:27:56,0.034
08/21/2020,13:27:57,0.048
08/21/2020,13:27:58,0.03
08/21/2020,13:27:59,0.032
08/21/2020,13:28:00,0.068
08/21/2020,13:28:01,0.07

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 3
Start Date:,08/21/2020
Start Time:,02:27:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.021
,Minimum:,0.008
,Time of Minimum:,02:27:30
,Date of Minimum:,08/21/2020
,Maximum:,0.067
,Time of Maximum:,02:27:11
,Date of Maximum:,08/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/21/2020,14:27:02,0.025
08/21/2020,14:27:03,0.025
08/21/2020,14:27:04,0.024
08/21/2020,14:27:05,0.03
08/21/2020,14:27:06,0.027
08/21/2020,14:27:07,0.024
08/21/2020,14:27:08,0.047
08/21/2020,14:27:09,0.024
08/21/2020,14:27:10,0.039
08/21/2020,14:27:11,0.067
08/21/2020,14:27:12,0.025
08/21/2020,14:27:13,0.023
08/21/2020,14:27:14,0.031
08/21/2020,14:27:15,0.044
08/21/2020,14:27:16,0.025
08/21/2020,14:27:17,0.012
08/21/2020,14:27:18,0.015
08/21/2020,14:27:19,0.018
08/21/2020,14:27:20,0.023
08/21/2020,14:27:21,0.015
08/21/2020,14:27:22,0.02
08/21/2020,14:27:23,0.015
08/21/2020,14:27:24,0.018
08/21/2020,14:27:25,0.019
08/21/2020,14:27:26,0.014
08/21/2020,14:27:27,0.016
08/21/2020,14:27:28,0.015
08/21/2020,14:27:29,0.033
08/21/2020,14:27:30,0.008
08/21/2020,14:27:31,0.021
08/21/2020,14:27:32,0.012
08/21/2020,14:27:33,0.015
08/21/2020,14:27:34,0.009
08/21/2020,14:27:35,0.025
08/21/2020,14:27:36,0.012
08/21/2020,14:27:37,0.014
08/21/2020,14:27:38,0.027
08/21/2020,14:27:39,0.014
08/21/2020,14:27:40,0.016
08/21/2020,14:27:41,0.015
08/21/2020,14:27:42,0.01
08/21/2020,14:27:43,0.012
08/21/2020,14:27:44,0.015
08/21/2020,14:27:45,0.013
08/21/2020,14:27:46,0.014
08/21/2020,14:27:47,0.021
08/21/2020,14:27:48,0.014
08/21/2020,14:27:49,0.01
08/21/2020,14:27:50,0.017
08/21/2020,14:27:51,0.013
08/21/2020,14:27:52,0.023
08/21/2020,14:27:53,0.015
08/21/2020,14:27:54,0.023
08/21/2020,14:27:55,0.016
08/21/2020,14:27:56,0.023
08/21/2020,14:27:57,0.016
08/21/2020,14:27:58,0.023
08/21/2020,14:27:59,0.026
08/21/2020,14:28:00,0.02
08/21/2020,14:28:01,0.028

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 4
Start Date:,08/21/2020
Start Time:,03:27:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.018
,Minimum:,0.004
,Time of Minimum:,03:27:52
,Date of Minimum:,08/21/2020
,Maximum:,0.028
,Time of Maximum:,03:27:23
,Date of Maximum:,08/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/21/2020,15:27:02,0.013
08/21/2020,15:27:03,0.016
08/21/2020,15:27:04,0.023
08/21/2020,15:27:05,0.017
08/21/2020,15:27:06,0.016
08/21/2020,15:27:07,0.017
08/21/2020,15:27:08,0.01
08/21/2020,15:27:09,0.015
08/21/2020,15:27:10,0.023
08/21/2020,15:27:11,0.014
08/21/2020,15:27:12,0.02
08/21/2020,15:27:13,0.016
08/21/2020,15:27:14,0.026
08/21/2020,15:27:15,0.019
08/21/2020,15:27:16,0.021
08/21/2020,15:27:17,0.023
08/21/2020,15:27:18,0.02
08/21/2020,15:27:19,0.028
08/21/2020,15:27:20,0.028
08/21/2020,15:27:21,0.021
08/21/2020,15:27:22,0.022
08/21/2020,15:27:23,0.028
08/21/2020,15:27:24,0.023
08/21/2020,15:27:25,0.019
08/21/2020,15:27:26,0.025
08/21/2020,15:27:27,0.024
08/21/2020,15:27:28,0.02
08/21/2020,15:27:29,0.026
08/21/2020,15:27:30,0.026
08/21/2020,15:27:31,0.019
08/21/2020,15:27:32,0.019
08/21/2020,15:27:33,0.024
08/21/2020,15:27:34,0.022
08/21/2020,15:27:35,0.023
08/21/2020,15:27:36,0.02
08/21/2020,15:27:37,0.022
08/21/2020,15:27:38,0.024
08/21/2020,15:27:39,0.021
08/21/2020,15:27:40,0.02
08/21/2020,15:27:41,0.016
08/21/2020,15:27:42,0.017
08/21/2020,15:27:43,0.014
08/21/2020,15:27:44,0.017
08/21/2020,15:27:45,0.011
08/21/2020,15:27:46,0.011
08/21/2020,15:27:47,0.013
08/21/2020,15:27:48,0.014
08/21/2020,15:27:49,0.015
08/21/2020,15:27:50,0.018
