TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,03/01/2022
Start Time:,11:35:12
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.052
,Minimum:,0.039
,Time of Minimum:,11:35:19
,Date of Minimum:,03/01/2022
,Maximum:,0.113
,Time of Maximum:,11:35:53
,Date of Maximum:,03/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/01/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/01/2022,11:35:13,0.05
03/01/2022,11:35:14,0.052
03/01/2022,11:35:15,0.056
03/01/2022,11:35:16,0.042
03/01/2022,11:35:17,0.044
03/01/2022,11:35:18,0.048
03/01/2022,11:35:19,0.039
03/01/2022,11:35:20,0.044
03/01/2022,11:35:21,0.06
03/01/2022,11:35:22,0.056
03/01/2022,11:35:23,0.042
03/01/2022,11:35:24,0.05
03/01/2022,11:35:25,0.062
03/01/2022,11:35:26,0.044
03/01/2022,11:35:27,0.05
03/01/2022,11:35:28,0.056
03/01/2022,11:35:29,0.051
03/01/2022,11:35:30,0.07
03/01/2022,11:35:31,0.059
03/01/2022,11:35:32,0.049
03/01/2022,11:35:33,0.079
03/01/2022,11:35:34,0.061
03/01/2022,11:35:35,0.053
03/01/2022,11:35:36,0.068
03/01/2022,11:35:37,0.058
03/01/2022,11:35:38,0.063
03/01/2022,11:35:39,0.05
03/01/2022,11:35:40,0.058
03/01/2022,11:35:41,0.045
03/01/2022,11:35:42,0.047
03/01/2022,11:35:43,0.048
03/01/2022,11:35:44,0.043
03/01/2022,11:35:45,0.048
03/01/2022,11:35:46,0.041
03/01/2022,11:35:47,0.052
03/01/2022,11:35:48,0.046
03/01/2022,11:35:49,0.044
03/01/2022,11:35:50,0.053
03/01/2022,11:35:51,0.05
03/01/2022,11:35:52,0.045
03/01/2022,11:35:53,0.113
03/01/2022,11:35:54,0.051
03/01/2022,11:35:55,0.054
03/01/2022,11:35:56,0.055
03/01/2022,11:35:57,0.056
03/01/2022,11:35:58,0.068
03/01/2022,11:35:59,0.054
03/01/2022,11:36:00,0.047
03/01/2022,11:36:01,0.055
03/01/2022,11:36:02,0.044
03/01/2022,11:36:03,0.054
03/01/2022,11:36:04,0.045
03/01/2022,11:36:05,0.046
03/01/2022,11:36:06,0.04
03/01/2022,11:36:07,0.04
03/01/2022,11:36:08,0.041
03/01/2022,11:36:09,0.043
03/01/2022,11:36:10,0.045
03/01/2022,11:36:11,0.045
03/01/2022,11:36:12,0.067

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,03/01/2022
Start Time:,12:35:13
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.062
,Minimum:,0.049
,Time of Minimum:,12:35:44
,Date of Minimum:,03/01/2022
,Maximum:,0.088
,Time of Maximum:,12:35:15
,Date of Maximum:,03/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/01/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/01/2022,12:35:14,0.07
03/01/2022,12:35:15,0.088
03/01/2022,12:35:16,0.066
03/01/2022,12:35:17,0.061
03/01/2022,12:35:18,0.061
03/01/2022,12:35:19,0.067
03/01/2022,12:35:20,0.057
03/01/2022,12:35:21,0.064
03/01/2022,12:35:22,0.054
03/01/2022,12:35:23,0.064
03/01/2022,12:35:24,0.063
03/01/2022,12:35:25,0.061
03/01/2022,12:35:26,0.06
03/01/2022,12:35:27,0.08
03/01/2022,12:35:28,0.06
03/01/2022,12:35:29,0.069
03/01/2022,12:35:30,0.069
03/01/2022,12:35:31,0.071
03/01/2022,12:35:32,0.059
03/01/2022,12:35:33,0.075
03/01/2022,12:35:34,0.068
03/01/2022,12:35:35,0.062
03/01/2022,12:35:36,0.061
03/01/2022,12:35:37,0.054
03/01/2022,12:35:38,0.063
03/01/2022,12:35:39,0.059
03/01/2022,12:35:40,0.058
03/01/2022,12:35:41,0.058
03/01/2022,12:35:42,0.067
03/01/2022,12:35:43,0.067
03/01/2022,12:35:44,0.049
03/01/2022,12:35:45,0.06
03/01/2022,12:35:46,0.053
03/01/2022,12:35:47,0.059
03/01/2022,12:35:48,0.058
03/01/2022,12:35:49,0.053
03/01/2022,12:35:50,0.057
03/01/2022,12:35:51,0.053
03/01/2022,12:35:52,0.054
03/01/2022,12:35:53,0.082
03/01/2022,12:35:54,0.06
03/01/2022,12:35:55,0.064
03/01/2022,12:35:56,0.062
03/01/2022,12:35:57,0.072
03/01/2022,12:35:58,0.066
03/01/2022,12:35:59,0.062
03/01/2022,12:36:00,0.069
03/01/2022,12:36:01,0.06
03/01/2022,12:36:02,0.057
03/01/2022,12:36:03,0.078
03/01/2022,12:36:04,0.065
03/01/2022,12:36:05,0.053
03/01/2022,12:36:06,0.052
03/01/2022,12:36:07,0.052
03/01/2022,12:36:08,0.058
03/01/2022,12:36:09,0.054
03/01/2022,12:36:10,0.052
03/01/2022,12:36:11,0.059
03/01/2022,12:36:12,0.063
03/01/2022,12:36:13,0.068

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 3
Start Date:,03/01/2022
Start Time:,01:35:13
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.06
,Minimum:,0.048
,Time of Minimum:,01:36:05
,Date of Minimum:,03/01/2022
,Maximum:,0.09
,Time of Maximum:,01:35:43
,Date of Maximum:,03/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/01/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/01/2022,13:35:14,0.057
03/01/2022,13:35:15,0.057
03/01/2022,13:35:16,0.058
03/01/2022,13:35:17,0.051
03/01/2022,13:35:18,0.051
03/01/2022,13:35:19,0.054
03/01/2022,13:35:20,0.057
03/01/2022,13:35:21,0.071
03/01/2022,13:35:22,0.071
03/01/2022,13:35:23,0.05
03/01/2022,13:35:24,0.054
03/01/2022,13:35:25,0.061
03/01/2022,13:35:26,0.065
03/01/2022,13:35:27,0.07
03/01/2022,13:35:28,0.066
03/01/2022,13:35:29,0.086
03/01/2022,13:35:30,0.06
03/01/2022,13:35:31,0.055
03/01/2022,13:35:32,0.048
03/01/2022,13:35:33,0.049
03/01/2022,13:35:34,0.055
03/01/2022,13:35:35,0.055
03/01/2022,13:35:36,0.071
03/01/2022,13:35:37,0.062
03/01/2022,13:35:38,0.057
03/01/2022,13:35:39,0.059
03/01/2022,13:35:40,0.052
03/01/2022,13:35:41,0.054
03/01/2022,13:35:42,0.054
03/01/2022,13:35:43,0.09
03/01/2022,13:35:44,0.053
03/01/2022,13:35:45,0.072
03/01/2022,13:35:46,0.06
03/01/2022,13:35:47,0.06
03/01/2022,13:35:48,0.07
03/01/2022,13:35:49,0.062
03/01/2022,13:35:50,0.061
03/01/2022,13:35:51,0.071
03/01/2022,13:35:52,0.058
03/01/2022,13:35:53,0.062
03/01/2022,13:35:54,0.062
03/01/2022,13:35:55,0.052
03/01/2022,13:35:56,0.059
03/01/2022,13:35:57,0.062
03/01/2022,13:35:58,0.067
03/01/2022,13:35:59,0.054
03/01/2022,13:36:00,0.057
03/01/2022,13:36:01,0.055
03/01/2022,13:36:02,0.057
03/01/2022,13:36:03,0.054
03/01/2022,13:36:04,0.065
03/01/2022,13:36:05,0.048
03/01/2022,13:36:06,0.057
03/01/2022,13:36:07,0.066
03/01/2022,13:36:08,0.054
03/01/2022,13:36:09,0.061
03/01/2022,13:36:10,0.06
03/01/2022,13:36:11,0.058
03/01/2022,13:36:12,0.06
03/01/2022,13:36:13,0.085

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 4
Start Date:,03/01/2022
Start Time:,02:35:13
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.063
,Minimum:,0.042
,Time of Minimum:,02:35:19
,Date of Minimum:,03/01/2022
,Maximum:,0.229
,Time of Maximum:,02:35:44
,Date of Maximum:,03/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/01/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/01/2022,14:35:14,0.057
03/01/2022,14:35:15,0.052
03/01/2022,14:35:16,0.046
03/01/2022,14:35:17,0.065
03/01/2022,14:35:18,0.051
03/01/2022,14:35:19,0.042
03/01/2022,14:35:20,0.054
03/01/2022,14:35:21,0.048
03/01/2022,14:35:22,0.068
03/01/2022,14:35:23,0.056
03/01/2022,14:35:24,0.049
03/01/2022,14:35:25,0.071
03/01/2022,14:35:26,0.054
03/01/2022,14:35:27,0.06
03/01/2022,14:35:28,0.056
03/01/2022,14:35:29,0.059
03/01/2022,14:35:30,0.056
03/01/2022,14:35:31,0.069
03/01/2022,14:35:32,0.049
03/01/2022,14:35:33,0.059
03/01/2022,14:35:34,0.064
03/01/2022,14:35:35,0.063
03/01/2022,14:35:36,0.076
03/01/2022,14:35:37,0.067
03/01/2022,14:35:38,0.07
03/01/2022,14:35:39,0.055
03/01/2022,14:35:40,0.054
03/01/2022,14:35:41,0.053
03/01/2022,14:35:42,0.082
03/01/2022,14:35:43,0.063
03/01/2022,14:35:44,0.229
03/01/2022,14:35:45,0.071
03/01/2022,14:35:46,0.057
03/01/2022,14:35:47,0.063
03/01/2022,14:35:48,0.062
03/01/2022,14:35:49,0.073
03/01/2022,14:35:50,0.07
03/01/2022,14:35:51,0.064
03/01/2022,14:35:52,0.073
03/01/2022,14:35:53,0.06
03/01/2022,14:35:54,0.058
03/01/2022,14:35:55,0.065
03/01/2022,14:35:56,0.062
03/01/2022,14:35:57,0.075
03/01/2022,14:35:58,0.058
03/01/2022,14:35:59,0.065
03/01/2022,14:36:00,0.05
03/01/2022,14:36:01,0.051
03/01/2022,14:36:02,0.067
03/01/2022,14:36:03,0.056
03/01/2022,14:36:04,0.077
03/01/2022,14:36:05,0.063
03/01/2022,14:36:06,0.058
03/01/2022,14:36:07,0.058
03/01/2022,14:36:08,0.058
03/01/2022,14:36:09,0.056
03/01/2022,14:36:10,0.06
03/01/2022,14:36:11,0.061
03/01/2022,14:36:12,0.045
03/01/2022,14:36:13,0.057

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 5
Start Date:,03/01/2022
Start Time:,03:35:13
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.043
,Time of Minimum:,03:35:48
,Date of Minimum:,03/01/2022
,Maximum:,0.085
,Time of Maximum:,03:36:09
,Date of Maximum:,03/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/01/2022
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
