TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,09/24/2021
Start Time:,12:00:05
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.09
,Minimum:,0.064
,Time of Minimum:,12:00:06
,Date of Minimum:,09/24/2021
,Maximum:,0.121
,Time of Maximum:,12:00:19
,Date of Maximum:,09/24/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,09/24/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
09/24/2021,12:00:06,0.064
09/24/2021,12:00:07,0.092
09/24/2021,12:00:08,0.078
09/24/2021,12:00:09,0.103
09/24/2021,12:00:10,0.098
09/24/2021,12:00:11,0.084
09/24/2021,12:00:12,0.105
09/24/2021,12:00:13,0.109
09/24/2021,12:00:14,0.082
09/24/2021,12:00:15,0.089
09/24/2021,12:00:16,0.094
09/24/2021,12:00:17,0.084
09/24/2021,12:00:18,0.083
09/24/2021,12:00:19,0.121
09/24/2021,12:00:20,0.08
09/24/2021,12:00:21,0.09
09/24/2021,12:00:22,0.089
09/24/2021,12:00:23,0.079
09/24/2021,12:00:24,0.103
09/24/2021,12:00:25,0.093
09/24/2021,12:00:26,0.103
09/24/2021,12:00:27,0.088
09/24/2021,12:00:28,0.106
09/24/2021,12:00:29,0.088
09/24/2021,12:00:30,0.099
09/24/2021,12:00:31,0.083
09/24/2021,12:00:32,0.106
09/24/2021,12:00:33,0.099
09/24/2021,12:00:34,0.114
09/24/2021,12:00:35,0.084
09/24/2021,12:00:36,0.086
09/24/2021,12:00:37,0.105
09/24/2021,12:00:38,0.1
09/24/2021,12:00:39,0.096
09/24/2021,12:00:40,0.097
09/24/2021,12:00:41,0.097
09/24/2021,12:00:42,0.099
09/24/2021,12:00:43,0.065
09/24/2021,12:00:44,0.089
09/24/2021,12:00:45,0.09
09/24/2021,12:00:46,0.086
09/24/2021,12:00:47,0.088
09/24/2021,12:00:48,0.067
09/24/2021,12:00:49,0.076
09/24/2021,12:00:50,0.103
09/24/2021,12:00:51,0.081
09/24/2021,12:00:52,0.069
09/24/2021,12:00:53,0.066
09/24/2021,12:00:54,0.077
09/24/2021,12:00:55,0.072
09/24/2021,12:00:56,0.098
09/24/2021,12:00:57,0.108
09/24/2021,12:00:58,0.088
09/24/2021,12:00:59,0.083
09/24/2021,12:01:00,0.091
09/24/2021,12:01:01,0.086
09/24/2021,12:01:02,0.103
09/24/2021,12:01:03,0.07
09/24/2021,12:01:04,0.078
09/24/2021,12:01:05,0.09

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,09/24/2021
Start Time:,01:00:06
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.069
,Minimum:,0.049
,Time of Minimum:,01:00:20
,Date of Minimum:,09/24/2021
,Maximum:,0.094
,Time of Maximum:,01:00:36
,Date of Maximum:,09/24/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,09/24/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
09/24/2021,13:00:07,0.073
09/24/2021,13:00:08,0.066
09/24/2021,13:00:09,0.071
09/24/2021,13:00:10,0.066
09/24/2021,13:00:11,0.062
09/24/2021,13:00:12,0.071
