TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,04/06/2021
Start Time:,12:52:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.023
,Time of Minimum:,12:53:44
,Date of Minimum:,04/06/2021
,Maximum:,0.108
,Time of Maximum:,12:52:52
,Date of Maximum:,04/06/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/06/2021
04/06/2021,14:52:48,0.06
04/06/2021,14:52:49,0.087
04/06/2021,14:52:50,0.077
04/06/2021,14:52:51,0.075
04/06/2021,14:52:52,0.079
04/06/2021,14:52:53,0.086
04/06/2021,14:52:54,0.079
04/06/2021,14:52:55,0.1
04/06/2021,14:52:56,0.067
04/06/2021,14:52:57,0.071
04/06/2021,14:52:58,0.077
04/06/2021,14:52:59,0.087
04/06/2021,14:53:00,0.079
04/06/2021,14:53:01,0.069
04/06/2021,14:53:02,0.076
04/06/2021,14:53:03,0.072
04/06/2021,14:53:04,0.085
04/06/2021,14:53:05,0.073
04/06/2021,14:53:06,0.069
04/06/2021,14:53:07,0.07
04/06/2021,14:53:08,0.067
04/06/2021,14:53:09,0.064
04/06/2021,14:53:10,0.076
04/06/2021,14:53:11,0.06
04/06/2021,14:53:12,0.049
04/06/2021,14:53:13,0.079
04/06/2021,14:53:14,0.07
04/06/2021,14:53:15,0.091
04/06/2021,14:53:16,0.069
04/06/2021,14:53:17,0.083
04/06/2021,14:53:18,0.053
04/06/2021,14:53:19,0.084
04/06/2021,14:53:20,0.072
04/06/2021,14:53:21,0.088
04/06/2021,14:53:22,0.076
04/06/2021,14:53:23,0.071
04/06/2021,14:53:24,0.094
04/06/2021,14:53:25,0.077
04/06/2021,14:53:26,0.09
04/06/2021,14:53:27,0.076
04/06/2021,14:53:28,0.088
04/06/2021,14:53:29,0.102
04/06/2021,14:53:30,0.083
04/06/2021,14:53:31,0.082
04/06/2021,14:53:32,0.07
04/06/2021,14:53:33,0.071
04/06/2021,14:53:34,0.068
