TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,10/29/2021
Start Time:,02:03:34
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.014
,Minimum:,0
,Time of Minimum:,02:03:36
,Date of Minimum:,10/29/2021
,Maximum:,0.028
,Time of Maximum:,02:03:57
,Date of Maximum:,10/29/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/29/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/29/2021,14:03:35,0.006
10/29/2021,14:03:36,0
10/29/2021,14:03:37,0.006
10/29/2021,14:03:38,0.003
10/29/2021,14:03:39,0.023
10/29/2021,14:03:40,0.019
10/29/2021,14:03:41,0.013
10/29/2021,14:03:42,0.019
10/29/2021,14:03:43,0.015
10/29/2021,14:03:44,0.022
10/29/2021,14:03:45,0.014
10/29/2021,14:03:46,0.018
10/29/2021,14:03:47,0.014
10/29/2021,14:03:48,0.016
10/29/2021,14:03:49,0.007
10/29/2021,14:03:50,0.008
10/29/2021,14:03:51,0.016
10/29/2021,14:03:52,0.01
10/29/2021,14:03:53,0.011
10/29/2021,14:03:54,0.008
10/29/2021,14:03:55,0.012
10/29/2021,14:03:56,0.009
10/29/2021,14:03:57,0.028
10/29/2021,14:03:58,0.016
10/29/2021,14:03:59,0.019
10/29/2021,14:04:00,0.019
10/29/2021,14:04:01,0.015
10/29/2021,14:04:02,0.022
10/29/2021,14:04:03,0.016
10/29/2021,14:04:04,0.015
10/29/2021,14:04:05,0.011
10/29/2021,14:04:06,0.016
10/29/2021,14:04:07,0.013
10/29/2021,14:04:08,0.009
10/29/2021,14:04:09,0.012
10/29/2021,14:04:10,0.004
10/29/2021,14:04:11,0.004
10/29/2021,14:04:12,0.006
10/29/2021,14:04:13,0.014
10/29/2021,14:04:14,0.022
10/29/2021,14:04:15,0.015
10/29/2021,14:04:16,0.019
10/29/2021,14:04:17,0.012
10/29/2021,14:04:18,0.026
10/29/2021,14:04:19,0.015
10/29/2021,14:04:20,0.014
10/29/2021,14:04:21,0.018
10/29/2021,14:04:22,0.022
10/29/2021,14:04:23,0.014
10/29/2021,14:04:24,0.012
10/29/2021,14:04:25,0.013
10/29/2021,14:04:26,0.012
10/29/2021,14:04:27,0.012
10/29/2021,14:04:28,0.012
10/29/2021,14:04:29,0.005
10/29/2021,14:04:30,0.008
10/29/2021,14:04:31,0.009
10/29/2021,14:04:32,0.01
10/29/2021,14:04:33,0.017
10/29/2021,14:04:34,0.02

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,10/29/2021
Start Time:,03:03:35
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.029
,Minimum:,0.02
,Time of Minimum:,03:04:17
,Date of Minimum:,10/29/2021
,Maximum:,0.062
,Time of Maximum:,03:04:33
,Date of Maximum:,10/29/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/29/2021
,Cal name:,Factory

Date,Time,Concentration
