TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,10/13/2020
Start Time:,10:55:56
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.085
,Minimum:,0.067
,Time of Minimum:,10:56:00
,Date of Minimum:,10/13/2020
,Maximum:,0.113
,Time of Maximum:,10:56:56
,Date of Maximum:,10/13/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/13/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/13/2020,10:55:57,0.076
10/13/2020,10:55:58,0.089
10/13/2020,10:55:59,0.088
10/13/2020,10:56:00,0.067
10/13/2020,10:56:01,0.09
10/13/2020,10:56:02,0.084
10/13/2020,10:56:03,0.077
10/13/2020,10:56:04,0.082
10/13/2020,10:56:05,0.077
10/13/2020,10:56:06,0.071
10/13/2020,10:56:07,0.084
10/13/2020,10:56:08,0.071
10/13/2020,10:56:09,0.075
10/13/2020,10:56:10,0.069
10/13/2020,10:56:11,0.075
10/13/2020,10:56:12,0.074
10/13/2020,10:56:13,0.08
10/13/2020,10:56:14,0.084
10/13/2020,10:56:15,0.092
10/13/2020,10:56:16,0.082
10/13/2020,10:56:17,0.088
10/13/2020,10:56:18,0.082
10/13/2020,10:56:19,0.069
10/13/2020,10:56:20,0.076
10/13/2020,10:56:21,0.088
10/13/2020,10:56:22,0.081
10/13/2020,10:56:23,0.085
10/13/2020,10:56:24,0.078
10/13/2020,10:56:25,0.096
10/13/2020,10:56:26,0.1
10/13/2020,10:56:27,0.092
10/13/2020,10:56:28,0.099
10/13/2020,10:56:29,0.08
10/13/2020,10:56:30,0.076
10/13/2020,10:56:31,0.075
10/13/2020,10:56:32,0.075
10/13/2020,10:56:33,0.081
10/13/2020,10:56:34,0.084
10/13/2020,10:56:35,0.094
10/13/2020,10:56:36,0.079
10/13/2020,10:56:37,0.089
10/13/2020,10:56:38,0.08
10/13/2020,10:56:39,0.072
10/13/2020,10:56:40,0.087
10/13/2020,10:56:41,0.094
10/13/2020,10:56:42,0.084
10/13/2020,10:56:43,0.081
10/13/2020,10:56:44,0.08
10/13/2020,10:56:45,0.095
10/13/2020,10:56:46,0.109
10/13/2020,10:56:47,0.093
10/13/2020,10:56:48,0.105
10/13/2020,10:56:49,0.095
10/13/2020,10:56:50,0.091
10/13/2020,10:56:51,0.094
10/13/2020,10:56:52,0.091
10/13/2020,10:56:53,0.091
10/13/2020,10:56:54,0.098
10/13/2020,10:56:55,0.1
10/13/2020,10:56:56,0.113

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,10/13/2020
Start Time:,11:55:56
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.088
,Minimum:,0.072
,Time of Minimum:,11:56:12
,Date of Minimum:,10/13/2020
,Maximum:,0.11
,Time of Maximum:,11:56:14
,Date of Maximum:,10/13/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/13/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/13/2020,11:55:57,0.083
10/13/2020,11:55:58,0.086
10/13/2020,11:55:59,0.093
10/13/2020,11:56:00,0.104
10/13/2020,11:56:01,0.078
10/13/2020,11:56:02,0.091
10/13/2020,11:56:03,0.095
10/13/2020,11:56:04,0.087
10/13/2020,11:56:05,0.078
10/13/2020,11:56:06,0.078
10/13/2020,11:56:07,0.087
10/13/2020,11:56:08,0.073
10/13/2020,11:56:09,0.075
10/13/2020,11:56:10,0.088
10/13/2020,11:56:11,0.086
10/13/2020,11:56:12,0.072
10/13/2020,11:56:13,0.09
10/13/2020,11:56:14,0.11
10/13/2020,11:56:15,0.092
10/13/2020,11:56:16,0.084
10/13/2020,11:56:17,0.083
10/13/2020,11:56:18,0.088
10/13/2020,11:56:19,0.094
10/13/2020,11:56:20,0.098
10/13/2020,11:56:21,0.076
10/13/2020,11:56:22,0.083
10/13/2020,11:56:23,0.102
10/13/2020,11:56:24,0.095
10/13/2020,11:56:25,0.097
10/13/2020,11:56:26,0.088
10/13/2020,11:56:27,0.078
10/13/2020,11:56:28,0.095
10/13/2020,11:56:29,0.095
10/13/2020,11:56:30,0.08
10/13/2020,11:56:31,0.08
10/13/2020,11:56:32,0.081
10/13/2020,11:56:33,0.09
10/13/2020,11:56:34,0.092
10/13/2020,11:56:35,0.084
10/13/2020,11:56:36,0.083
10/13/2020,11:56:37,0.082
10/13/2020,11:56:38,0.082
10/13/2020,11:56:39,0.083
10/13/2020,11:56:40,0.086
10/13/2020,11:56:41,0.089
10/13/2020,11:56:42,0.088
10/13/2020,11:56:43,0.085
10/13/2020,11:56:44,0.084
10/13/2020,11:56:45,0.083
10/13/2020,11:56:46,0.087
10/13/2020,11:56:47,0.094
10/13/2020,11:56:48,0.099
10/13/2020,11:56:49,0.081
10/13/2020,11:56:50,0.085
10/13/2020,11:56:51,0.09
10/13/2020,11:56:52,0.104
10/13/2020,11:56:53,0.088
10/13/2020,11:56:54,0.105
10/13/2020,11:56:55,0.084
10/13/2020,11:56:56,0.094

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 3
Start Date:,10/13/2020
Start Time:,12:55:56
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.126
,Minimum:,0.104
,Time of Minimum:,12:56:54
,Date of Minimum:,10/13/2020
,Maximum:,0.147
,Time of Maximum:,12:56:02
,Date of Maximum:,10/13/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/13/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/13/2020,12:55:57,0.129
10/13/2020,12:55:58,0.125
10/13/2020,12:55:59,0.132
10/13/2020,12:56:00,0.146
10/13/2020,12:56:01,0.134
10/13/2020,12:56:02,0.147
10/13/2020,12:56:03,0.113
10/13/2020,12:56:04,0.137
10/13/2020,12:56:05,0.123
10/13/2020,12:56:06,0.14
10/13/2020,12:56:07,0.132
10/13/2020,12:56:08,0.139
10/13/2020,12:56:09,0.124
10/13/2020,12:56:10,0.127
10/13/2020,12:56:11,0.138
10/13/2020,12:56:12,0.12
10/13/2020,12:56:13,0.134
10/13/2020,12:56:14,0.122
10/13/2020,12:56:15,0.125
10/13/2020,12:56:16,0.13
10/13/2020,12:56:17,0.143
10/13/2020,12:56:18,0.129
10/13/2020,12:56:19,0.137
10/13/2020,12:56:20,0.122
10/13/2020,12:56:21,0.127
10/13/2020,12:56:22,0.125
10/13/2020,12:56:23,0.138
10/13/2020,12:56:24,0.129
10/13/2020,12:56:25,0.125
10/13/2020,12:56:26,0.134
10/13/2020,12:56:27,0.127
10/13/2020,12:56:28,0.13
10/13/2020,12:56:29,0.144
10/13/2020,12:56:30,0.112
10/13/2020,12:56:31,0.141
10/13/2020,12:56:32,0.137
10/13/2020,12:56:33,0.116
10/13/2020,12:56:34,0.11
10/13/2020,12:56:35,0.129
10/13/2020,12:56:36,0.112
10/13/2020,12:56:37,0.11
10/13/2020,12:56:38,0.129
10/13/2020,12:56:39,0.123
10/13/2020,12:56:40,0.119
10/13/2020,12:56:41,0.125
10/13/2020,12:56:42,0.11
10/13/2020,12:56:43,0.135
10/13/2020,12:56:44,0.118
10/13/2020,12:56:45,0.126
10/13/2020,12:56:46,0.114
