TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 1
Start Date:,01/05/2021
Start Time:,04:34:26
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.026
,Minimum:,0.015
,Time of Minimum:,04:35:13
,Date of Minimum:,01/05/2021
,Maximum:,0.039
,Time of Maximum:,04:35:05
,Date of Maximum:,01/05/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,11/19/2019
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
01/05/2021,16:34:27,0.02
01/05/2021,16:34:28,0.015
01/05/2021,16:34:29,0.018
01/05/2021,16:34:30,0.019
01/05/2021,16:34:31,0.019
01/05/2021,16:34:32,0.038
01/05/2021,16:34:33,0.036
01/05/2021,16:34:34,0.028
01/05/2021,16:34:35,0.028
01/05/2021,16:34:36,0.037
01/05/2021,16:34:37,0.027
01/05/2021,16:34:38,0.028
01/05/2021,16:34:39,0.026
01/05/2021,16:34:40,0.027
01/05/2021,16:34:41,0.027
01/05/2021,16:34:42,0.028
01/05/2021,16:34:43,0.022
01/05/2021,16:34:44,0.022
01/05/2021,16:34:45,0.02
01/05/2021,16:34:46,0.018
01/05/2021,16:34:47,0.024
01/05/2021,16:34:48,0.019
01/05/2021,16:34:49,0.022
01/05/2021,16:34:50,0.023
01/05/2021,16:34:51,0.025
01/05/2021,16:34:52,0.029
01/05/2021,16:34:53,0.023
01/05/2021,16:34:54,0.024
01/05/2021,16:34:55,0.026
01/05/2021,16:34:56,0.028
01/05/2021,16:34:57,0.025
01/05/2021,16:34:58,0.028
01/05/2021,16:34:59,0.025
01/05/2021,16:35:00,0.035
01/05/2021,16:35:01,0.026
01/05/2021,16:35:02,0.028
01/05/2021,16:35:03,0.024
01/05/2021,16:35:04,0.035
01/05/2021,16:35:05,0.039
01/05/2021,16:35:06,0.021
01/05/2021,16:35:07,0.025
01/05/2021,16:35:08,0.026
01/05/2021,16:35:09,0.022
01/05/2021,16:35:10,0.028
01/05/2021,16:35:11,0.028
01/05/2021,16:35:12,0.019
