TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 1
Start Date:,05/06/2022
Start Time:,10:48:19
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.037
,Minimum:,0.023
,Time of Minimum:,10:48:47
,Date of Minimum:,05/06/2022
,Maximum:,0.06
,Time of Maximum:,10:48:55
,Date of Maximum:,05/06/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/06/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/06/2022,10:48:20,0.033
05/06/2022,10:48:21,0.026
05/06/2022,10:48:22,0.036
05/06/2022,10:48:23,0.038
05/06/2022,10:48:24,0.033
05/06/2022,10:48:25,0.046
05/06/2022,10:48:26,0.029
05/06/2022,10:48:27,0.024
05/06/2022,10:48:28,0.028
05/06/2022,10:48:29,0.04
05/06/2022,10:48:30,0.038
05/06/2022,10:48:31,0.027
05/06/2022,10:48:32,0.034
05/06/2022,10:48:33,0.038
05/06/2022,10:48:34,0.037
05/06/2022,10:48:35,0.05
05/06/2022,10:48:36,0.028
05/06/2022,10:48:37,0.041
05/06/2022,10:48:38,0.028
05/06/2022,10:48:39,0.052
05/06/2022,10:48:40,0.028
05/06/2022,10:48:41,0.035
05/06/2022,10:48:42,0.03
05/06/2022,10:48:43,0.038
05/06/2022,10:48:44,0.037
05/06/2022,10:48:45,0.031
05/06/2022,10:48:46,0.048
05/06/2022,10:48:47,0.023
05/06/2022,10:48:48,0.033
05/06/2022,10:48:49,0.034
05/06/2022,10:48:50,0.036
05/06/2022,10:48:51,0.032
05/06/2022,10:48:52,0.036
05/06/2022,10:48:53,0.039
05/06/2022,10:48:54,0.035
05/06/2022,10:48:55,0.06
05/06/2022,10:48:56,0.032
05/06/2022,10:48:57,0.046
05/06/2022,10:48:58,0.03
05/06/2022,10:48:59,0.036
05/06/2022,10:49:00,0.029
05/06/2022,10:49:01,0.032
05/06/2022,10:49:02,0.048
05/06/2022,10:49:03,0.045
05/06/2022,10:49:04,0.037
05/06/2022,10:49:05,0.032
05/06/2022,10:49:06,0.047
05/06/2022,10:49:07,0.036
05/06/2022,10:49:08,0.031
05/06/2022,10:49:09,0.045
05/06/2022,10:49:10,0.036
05/06/2022,10:49:11,0.048
05/06/2022,10:49:12,0.032
05/06/2022,10:49:13,0.058
05/06/2022,10:49:14,0.054
05/06/2022,10:49:15,0.047
05/06/2022,10:49:16,0.039
05/06/2022,10:49:17,0.039
05/06/2022,10:49:18,0.039
05/06/2022,10:49:19,0.049

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 2
Start Date:,05/06/2022
Start Time:,11:48:20
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.048
,Minimum:,0.028
,Time of Minimum:,11:48:24
,Date of Minimum:,05/06/2022
,Maximum:,0.081
,Time of Maximum:,11:48:58
,Date of Maximum:,05/06/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/06/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/06/2022,11:48:21,0.046
05/06/2022,11:48:22,0.037
05/06/2022,11:48:23,0.031
05/06/2022,11:48:24,0.028
05/06/2022,11:48:25,0.054
05/06/2022,11:48:26,0.04
05/06/2022,11:48:27,0.046
05/06/2022,11:48:28,0.033
05/06/2022,11:48:29,0.065
05/06/2022,11:48:30,0.034
05/06/2022,11:48:31,0.039
05/06/2022,11:48:32,0.032
05/06/2022,11:48:33,0.03
05/06/2022,11:48:34,0.033
05/06/2022,11:48:35,0.037
05/06/2022,11:48:36,0.032
05/06/2022,11:48:37,0.034
05/06/2022,11:48:38,0.039
05/06/2022,11:48:39,0.039
05/06/2022,11:48:40,0.036
05/06/2022,11:48:41,0.052
05/06/2022,11:48:42,0.043
05/06/2022,11:48:43,0.044
05/06/2022,11:48:44,0.052
05/06/2022,11:48:45,0.048
05/06/2022,11:48:46,0.061
05/06/2022,11:48:47,0.047
05/06/2022,11:48:48,0.045
05/06/2022,11:48:49,0.052
05/06/2022,11:48:50,0.058
05/06/2022,11:48:51,0.055
05/06/2022,11:48:52,0.048
05/06/2022,11:48:53,0.055
05/06/2022,11:48:54,0.053
05/06/2022,11:48:55,0.048
05/06/2022,11:48:56,0.047
05/06/2022,11:48:57,0.053
05/06/2022,11:48:58,0.081
05/06/2022,11:48:59,0.052
05/06/2022,11:49:00,0.07
05/06/2022,11:49:01,0.06
05/06/2022,11:49:02,0.042
05/06/2022,11:49:03,0.069
05/06/2022,11:49:04,0.056
05/06/2022,11:49:05,0.049
05/06/2022,11:49:06,0.061
05/06/2022,11:49:07,0.053
05/06/2022,11:49:08,0.056
05/06/2022,11:49:09,0.054
05/06/2022,11:49:10,0.05
05/06/2022,11:49:11,0.04
05/06/2022,11:49:12,0.046
05/06/2022,11:49:13,0.046
05/06/2022,11:49:14,0.045
05/06/2022,11:49:15,0.041
05/06/2022,11:49:16,0.049
05/06/2022,11:49:17,0.049
05/06/2022,11:49:18,0.053
05/06/2022,11:49:19,0.053
05/06/2022,11:49:20,0.053

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 3
Start Date:,05/06/2022
Start Time:,12:48:20
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.037
,Minimum:,0.023
,Time of Minimum:,12:48:42
,Date of Minimum:,05/06/2022
,Maximum:,0.094
,Time of Maximum:,12:49:01
,Date of Maximum:,05/06/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/06/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/06/2022,12:48:21,0.041
05/06/2022,12:48:22,0.054
05/06/2022,12:48:23,0.038
05/06/2022,12:48:24,0.033
05/06/2022,12:48:25,0.043
05/06/2022,12:48:26,0.053
05/06/2022,12:48:27,0.05
05/06/2022,12:48:28,0.033
05/06/2022,12:48:29,0.03
05/06/2022,12:48:30,0.032
05/06/2022,12:48:31,0.034
05/06/2022,12:48:32,0.031
05/06/2022,12:48:33,0.034
05/06/2022,12:48:34,0.031
05/06/2022,12:48:35,0.033
05/06/2022,12:48:36,0.025
05/06/2022,12:48:37,0.041
05/06/2022,12:48:38,0.041
05/06/2022,12:48:39,0.027
05/06/2022,12:48:40,0.028
05/06/2022,12:48:41,0.025
05/06/2022,12:48:42,0.023
05/06/2022,12:48:43,0.034
05/06/2022,12:48:44,0.025
05/06/2022,12:48:45,0.034
05/06/2022,12:48:46,0.031
05/06/2022,12:48:47,0.031
05/06/2022,12:48:48,0.026
05/06/2022,12:48:49,0.032
05/06/2022,12:48:50,0.034
05/06/2022,12:48:51,0.036
05/06/2022,12:48:52,0.033
05/06/2022,12:48:53,0.033
05/06/2022,12:48:54,0.039
05/06/2022,12:48:55,0.036
05/06/2022,12:48:56,0.042
05/06/2022,12:48:57,0.034
05/06/2022,12:48:58,0.039
05/06/2022,12:48:59,0.036
05/06/2022,12:49:00,0.031
05/06/2022,12:49:01,0.094
05/06/2022,12:49:02,0.04
05/06/2022,12:49:03,0.042
05/06/2022,12:49:04,0.04
05/06/2022,12:49:05,0.035
05/06/2022,12:49:06,0.034
05/06/2022,12:49:07,0.04
05/06/2022,12:49:08,0.04
05/06/2022,12:49:09,0.042
05/06/2022,12:49:10,0.035
05/06/2022,12:49:11,0.037
05/06/2022,12:49:12,0.039
05/06/2022,12:49:13,0.036
05/06/2022,12:49:14,0.037
05/06/2022,12:49:15,0.039
05/06/2022,12:49:16,0.033
05/06/2022,12:49:17,0.039
05/06/2022,12:49:18,0.04
05/06/2022,12:49:19,0.039
05/06/2022,12:49:20,0.054

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
