TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 1
Start Date:,05/04/2021
Start Time:,11:10:37
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.109
,Minimum:,0.073
,Time of Minimum:,11:10:57
,Date of Minimum:,05/04/2021
,Maximum:,0.156
,Time of Maximum:,11:10:56
,Date of Maximum:,05/04/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/04/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/04/2021,11:10:38,0.108
05/04/2021,11:10:39,0.093
05/04/2021,11:10:40,0.15
05/04/2021,11:10:41,0.098
05/04/2021,11:10:42,0.098
05/04/2021,11:10:43,0.132
05/04/2021,11:10:44,0.096
05/04/2021,11:10:45,0.093
05/04/2021,11:10:46,0.096
05/04/2021,11:10:47,0.098
05/04/2021,11:10:48,0.103
05/04/2021,11:10:49,0.102
05/04/2021,11:10:50,0.128
05/04/2021,11:10:51,0.104
05/04/2021,11:10:52,0.096
05/04/2021,11:10:53,0.109
05/04/2021,11:10:54,0.106
05/04/2021,11:10:55,0.104
05/04/2021,11:10:56,0.156
05/04/2021,11:10:57,0.073
05/04/2021,11:10:58,0.128
05/04/2021,11:10:59,0.112
05/04/2021,11:11:00,0.115
05/04/2021,11:11:01,0.088
05/04/2021,11:11:02,0.096
05/04/2021,11:11:03,0.139
05/04/2021,11:11:04,0.092
05/04/2021,11:11:05,0.106
05/04/2021,11:11:06,0.118
05/04/2021,11:11:07,0.135
05/04/2021,11:11:08,0.105
05/04/2021,11:11:09,0.087
05/04/2021,11:11:10,0.098
05/04/2021,11:11:11,0.102
05/04/2021,11:11:12,0.097
05/04/2021,11:11:13,0.115
05/04/2021,11:11:14,0.134
05/04/2021,11:11:15,0.094
05/04/2021,11:11:16,0.104
05/04/2021,11:11:17,0.109
05/04/2021,11:11:18,0.124
05/04/2021,11:11:19,0.1
05/04/2021,11:11:20,0.106
05/04/2021,11:11:21,0.101
05/04/2021,11:11:22,0.118
05/04/2021,11:11:23,0.106
05/04/2021,11:11:24,0.115
05/04/2021,11:11:25,0.111
05/04/2021,11:11:26,0.117
05/04/2021,11:11:27,0.106
05/04/2021,11:11:28,0.134
05/04/2021,11:11:29,0.103
05/04/2021,11:11:30,0.104
05/04/2021,11:11:31,0.113
05/04/2021,11:11:32,0.11
05/04/2021,11:11:33,0.121
05/04/2021,11:11:34,0.139
05/04/2021,11:11:35,0.116
05/04/2021,11:11:36,0.104
05/04/2021,11:11:37,0.088

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 2
Start Date:,05/04/2021
Start Time:,12:10:38
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.169
,Minimum:,0.127
,Time of Minimum:,12:11:35
,Date of Minimum:,05/04/2021
,Maximum:,0.232
,Time of Maximum:,12:11:07
,Date of Maximum:,05/04/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/04/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/04/2021,12:10:39,0.159
05/04/2021,12:10:40,0.14
05/04/2021,12:10:41,0.135
05/04/2021,12:10:42,0.193
05/04/2021,12:10:43,0.147
05/04/2021,12:10:44,0.148
05/04/2021,12:10:45,0.13
05/04/2021,12:10:46,0.17
05/04/2021,12:10:47,0.147
05/04/2021,12:10:48,0.132
05/04/2021,12:10:49,0.153
05/04/2021,12:10:50,0.206
05/04/2021,12:10:51,0.174
05/04/2021,12:10:52,0.195
05/04/2021,12:10:53,0.143
05/04/2021,12:10:54,0.16
05/04/2021,12:10:55,0.183
05/04/2021,12:10:56,0.198
05/04/2021,12:10:57,0.193
05/04/2021,12:10:58,0.18
05/04/2021,12:10:59,0.179
05/04/2021,12:11:00,0.157
05/04/2021,12:11:01,0.14
05/04/2021,12:11:02,0.179
05/04/2021,12:11:03,0.196
05/04/2021,12:11:04,0.188
05/04/2021,12:11:05,0.188
05/04/2021,12:11:06,0.19
05/04/2021,12:11:07,0.232
05/04/2021,12:11:08,0.208
05/04/2021,12:11:09,0.215
05/04/2021,12:11:10,0.21
05/04/2021,12:11:11,0.203
05/04/2021,12:11:12,0.17
05/04/2021,12:11:13,0.18
05/04/2021,12:11:14,0.174
05/04/2021,12:11:15,0.173
05/04/2021,12:11:16,0.173
05/04/2021,12:11:17,0.19
05/04/2021,12:11:18,0.163
05/04/2021,12:11:19,0.159
05/04/2021,12:11:20,0.164
05/04/2021,12:11:21,0.149
05/04/2021,12:11:22,0.185
05/04/2021,12:11:23,0.163
05/04/2021,12:11:24,0.16
05/04/2021,12:11:25,0.155
05/04/2021,12:11:26,0.173
05/04/2021,12:11:27,0.174
05/04/2021,12:11:28,0.149
05/04/2021,12:11:29,0.174
05/04/2021,12:11:30,0.137
05/04/2021,12:11:31,0.159
05/04/2021,12:11:32,0.147
05/04/2021,12:11:33,0.146
05/04/2021,12:11:34,0.144
05/04/2021,12:11:35,0.127
05/04/2021,12:11:36,0.135
05/04/2021,12:11:37,0.196
05/04/2021,12:11:38,0.147

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 3
Start Date:,05/04/2021
Start Time:,01:10:38
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.087
,Minimum:,0.068
,Time of Minimum:,01:11:30
,Date of Minimum:,05/04/2021
,Maximum:,0.123
,Time of Maximum:,01:11:05
,Date of Maximum:,05/04/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/04/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/04/2021,13:10:39,0.09
05/04/2021,13:10:40,0.078
05/04/2021,13:10:41,0.087
05/04/2021,13:10:42,0.08
05/04/2021,13:10:43,0.087
05/04/2021,13:10:44,0.096
05/04/2021,13:10:45,0.085
05/04/2021,13:10:46,0.09
05/04/2021,13:10:47,0.085
05/04/2021,13:10:48,0.085
05/04/2021,13:10:49,0.094
05/04/2021,13:10:50,0.076
05/04/2021,13:10:51,0.1
05/04/2021,13:10:52,0.082
05/04/2021,13:10:53,0.104
05/04/2021,13:10:54,0.093
05/04/2021,13:10:55,0.09
05/04/2021,13:10:56,0.105
05/04/2021,13:10:57,0.086
05/04/2021,13:10:58,0.072
05/04/2021,13:10:59,0.091
05/04/2021,13:11:00,0.103
05/04/2021,13:11:01,0.095
05/04/2021,13:11:02,0.088
05/04/2021,13:11:03,0.076
05/04/2021,13:11:04,0.091
05/04/2021,13:11:05,0.123
05/04/2021,13:11:06,0.087
05/04/2021,13:11:07,0.09
05/04/2021,13:11:08,0.103
05/04/2021,13:11:09,0.086
05/04/2021,13:11:10,0.096
05/04/2021,13:11:11,0.08
05/04/2021,13:11:12,0.08
05/04/2021,13:11:13,0.09
05/04/2021,13:11:14,0.098
05/04/2021,13:11:15,0.085
05/04/2021,13:11:16,0.105
05/04/2021,13:11:17,0.081
05/04/2021,13:11:18,0.12
05/04/2021,13:11:19,0.091
05/04/2021,13:11:20,0.1
05/04/2021,13:11:21,0.103
05/04/2021,13:11:22,0.079
05/04/2021,13:11:23,0.078
05/04/2021,13:11:24,0.075
05/04/2021,13:11:25,0.069
05/04/2021,13:11:26,0.073
05/04/2021,13:11:27,0.077
05/04/2021,13:11:28,0.069
05/04/2021,13:11:29,0.069
05/04/2021,13:11:30,0.068
05/04/2021,13:11:31,0.074
05/04/2021,13:11:32,0.089
05/04/2021,13:11:33,0.093
05/04/2021,13:11:34,0.072
05/04/2021,13:11:35,0.075
05/04/2021,13:11:36,0.073
05/04/2021,13:11:37,0.089
05/04/2021,13:11:38,0.081

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 4
Start Date:,05/04/2021
Start Time:,02:10:38
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.059
,Time of Minimum:,02:10:55
,Date of Minimum:,05/04/2021
,Maximum:,0.102
,Time of Maximum:,02:10:51
,Date of Maximum:,05/04/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/04/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/04/2021,14:10:39,0.082
05/04/2021,14:10:40,0.081
05/04/2021,14:10:41,0.097
05/04/2021,14:10:42,0.086
05/04/2021,14:10:43,0.083
05/04/2021,14:10:44,0.097
05/04/2021,14:10:45,0.078
05/04/2021,14:10:46,0.09
05/04/2021,14:10:47,0.071
05/04/2021,14:10:48,0.081
05/04/2021,14:10:49,0.073
05/04/2021,14:10:50,0.084
05/04/2021,14:10:51,0.102
05/04/2021,14:10:52,0.074
05/04/2021,14:10:53,0.089
05/04/2021,14:10:54,0.08
05/04/2021,14:10:55,0.059
05/04/2021,14:10:56,0.089
05/04/2021,14:10:57,0.066
05/04/2021,14:10:58,0.078
05/04/2021,14:10:59,0.069
05/04/2021,14:11:00,0.082
05/04/2021,14:11:01,0.081
05/04/2021,14:11:02,0.066
05/04/2021,14:11:03,0.069
05/04/2021,14:11:04,0.072
05/04/2021,14:11:05,0.067
