TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,02/26/2021
Start Time:,11:50:53
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.048
,Minimum:,0.027
,Time of Minimum:,11:51:18
,Date of Minimum:,02/26/2021
,Maximum:,0.075
,Time of Maximum:,11:51:09
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
02/26/2021,13:50:57,0.07
02/26/2021,13:50:58,0.076
02/26/2021,13:50:59,0.068
02/26/2021,13:51:00,0.093
02/26/2021,13:51:01,0.071
02/26/2021,13:51:02,0.083
02/26/2021,13:51:03,0.078
02/26/2021,13:51:04,0.081
02/26/2021,13:51:05,0.087
02/26/2021,13:51:06,0.078
02/26/2021,13:51:07,0.081
02/26/2021,13:51:08,0.079
02/26/2021,13:51:09,0.078
02/26/2021,13:51:10,0.081
02/26/2021,13:51:11,0.083
02/26/2021,13:51:12,0.102
02/26/2021,13:51:13,0.093
02/26/2021,13:51:14,0.08
02/26/2021,13:51:15,0.082
02/26/2021,13:51:16,0.117
02/26/2021,13:51:17,0.093
02/26/2021,13:51:18,0.092
02/26/2021,13:51:19,0.085
02/26/2021,13:51:20,0.079
02/26/2021,13:51:21,0.068
02/26/2021,13:51:22,0.068
02/26/2021,13:51:23,0.084
02/26/2021,13:51:24,0.07
02/26/2021,13:51:25,0.075
02/26/2021,13:51:26,0.083
02/26/2021,13:51:27,0.108
02/26/2021,13:51:28,0.091
02/26/2021,13:51:29,0.093
02/26/2021,13:51:30,0.096
02/26/2021,13:51:31,0.102
02/26/2021,13:51:32,0.106
02/26/2021,13:51:33,0.094
02/26/2021,13:51:34,0.088
02/26/2021,13:51:35,0.104
02/26/2021,13:51:36,0.101
02/26/2021,13:51:37,0.097
02/26/2021,13:51:38,0.099
02/26/2021,13:51:39,0.085
02/26/2021,13:51:40,0.086
02/26/2021,13:51:41,0.089
02/26/2021,13:51:42,0.092
02/26/2021,13:51:43,0.091
02/26/2021,13:51:44,0.079
02/26/2021,13:51:45,0.078
02/26/2021,13:51:46,0.085
02/26/2021,13:51:47,0.083
02/26/2021,13:51:48,0.081
02/26/2021,13:51:49,0.076
02/26/2021,13:51:50,0.07
02/26/2021,13:51:51,0.082
02/26/2021,13:51:52,0.065
02/26/2021,13:51:53,0.136
02/26/2021,13:51:54,0.084

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 4
Start Date:,02/26/2021
Start Time:,02:50:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.085
,Minimum:,0.063
,Time of Minimum:,02:51:52
,Date of Minimum:,02/26/2021
,Maximum:,0.111
,Time of Maximum:,02:50:57
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,14:50:55,0.098
02/26/2021,14:50:56,0.102
02/26/2021,14:50:57,0.111
02/26/2021,14:50:58,0.1
02/26/2021,14:50:59,0.1
02/26/2021,14:51:00,0.091
02/26/2021,14:51:01,0.082
02/26/2021,14:51:02,0.102
02/26/2021,14:51:03,0.107
02/26/2021,14:51:04,0.097
02/26/2021,14:51:05,0.092
02/26/2021,14:51:06,0.105
02/26/2021,14:51:07,0.1
02/26/2021,14:51:08,0.09
02/26/2021,14:51:09,0.087
02/26/2021,14:51:10,0.08
02/26/2021,14:51:11,0.089
02/26/2021,14:51:12,0.081
02/26/2021,14:51:13,0.069
02/26/2021,14:51:14,0.088
02/26/2021,14:51:15,0.085
02/26/2021,14:51:16,0.082
02/26/2021,14:51:17,0.085
02/26/2021,14:51:18,0.097
02/26/2021,14:51:19,0.076
02/26/2021,14:51:20,0.091
02/26/2021,14:51:21,0.084
02/26/2021,14:51:22,0.101
02/26/2021,14:51:23,0.094
02/26/2021,14:51:24,0.082
02/26/2021,14:51:25,0.081
02/26/2021,14:51:26,0.069
02/26/2021,14:51:27,0.087
02/26/2021,14:51:28,0.069
02/26/2021,14:51:29,0.064
02/26/2021,14:51:30,0.076
02/26/2021,14:51:31,0.078
02/26/2021,14:51:32,0.083
02/26/2021,14:51:33,0.09
02/26/2021,14:51:34,0.076
02/26/2021,14:51:35,0.082
02/26/2021,14:51:36,0.083
02/26/2021,14:51:37,0.078
02/26/2021,14:51:38,0.076
02/26/2021,14:51:39,0.082
02/26/2021,14:51:40,0.088
02/26/2021,14:51:41,0.088
02/26/2021,14:51:42,0.073
02/26/2021,14:51:43,0.068
02/26/2021,14:51:44,0.075
02/26/2021,14:51:45,0.083
02/26/2021,14:51:46,0.086
02/26/2021,14:51:47,0.069
02/26/2021,14:51:48,0.071
02/26/2021,14:51:49,0.08
02/26/2021,14:51:50,0.07
02/26/2021,14:51:51,0.083
02/26/2021,14:51:52,0.063
02/26/2021,14:51:53,0.077
02/26/2021,14:51:54,0.079

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 5
Start Date:,02/26/2021
Start Time:,03:50:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.071
,Minimum:,0.059
,Time of Minimum:,03:51:25
,Date of Minimum:,02/26/2021
,Maximum:,0.09
,Time of Maximum:,03:51:34
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,15:50:55,0.069
02/26/2021,15:50:56,0.073
02/26/2021,15:50:57,0.073
02/26/2021,15:50:58,0.081
02/26/2021,15:50:59,0.08
02/26/2021,15:51:00,0.064
02/26/2021,15:51:01,0.065
02/26/2021,15:51:02,0.075
02/26/2021,15:51:03,0.061
02/26/2021,15:51:04,0.06
02/26/2021,15:51:05,0.072
02/26/2021,15:51:06,0.059
02/26/2021,15:51:07,0.059
02/26/2021,15:51:08,0.067
02/26/2021,15:51:09,0.075
02/26/2021,15:51:10,0.079
02/26/2021,15:51:11,0.071
02/26/2021,15:51:12,0.07
02/26/2021,15:51:13,0.074
02/26/2021,15:51:14,0.07
02/26/2021,15:51:15,0.062
02/26/2021,15:51:16,0.074
02/26/2021,15:51:17,0.061
02/26/2021,15:51:18,0.06
02/26/2021,15:51:19,0.073
02/26/2021,15:51:20,0.061
02/26/2021,15:51:21,0.07
02/26/2021,15:51:22,0.075
02/26/2021,15:51:23,0.061
