TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 1
Start Date:,08/17/2021
Start Time:,09:35:32
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.06
,Minimum:,0.039
,Time of Minimum:,09:36:18
,Date of Minimum:,08/17/2021
,Maximum:,0.148
,Time of Maximum:,09:36:11
,Date of Maximum:,08/17/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/17/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/17/2021,09:35:33,0.052
08/17/2021,09:35:34,0.051
08/17/2021,09:35:35,0.059
08/17/2021,09:35:36,0.043
08/17/2021,09:35:37,0.068
08/17/2021,09:35:38,0.057
08/17/2021,09:35:39,0.057
08/17/2021,09:35:40,0.061
08/17/2021,09:35:41,0.046
08/17/2021,09:35:42,0.045
08/17/2021,09:35:43,0.078
08/17/2021,09:35:44,0.05
08/17/2021,09:35:45,0.064
08/17/2021,09:35:46,0.063
08/17/2021,09:35:47,0.052
08/17/2021,09:35:48,0.053
08/17/2021,09:35:49,0.055
08/17/2021,09:35:50,0.056
08/17/2021,09:35:51,0.048
08/17/2021,09:35:52,0.056
08/17/2021,09:35:53,0.065
08/17/2021,09:35:54,0.076
08/17/2021,09:35:55,0.063
08/17/2021,09:35:56,0.068
08/17/2021,09:35:57,0.059
08/17/2021,09:35:58,0.05
08/17/2021,09:35:59,0.078
08/17/2021,09:36:00,0.054
08/17/2021,09:36:01,0.065
08/17/2021,09:36:02,0.054
08/17/2021,09:36:03,0.059
08/17/2021,09:36:04,0.08
08/17/2021,09:36:05,0.062
08/17/2021,09:36:06,0.046
08/17/2021,09:36:07,0.084
08/17/2021,09:36:08,0.064
08/17/2021,09:36:09,0.064
08/17/2021,09:36:10,0.059
08/17/2021,09:36:11,0.148
08/17/2021,09:36:12,0.057
08/17/2021,09:36:13,0.057
08/17/2021,09:36:14,0.062
08/17/2021,09:36:15,0.071
08/17/2021,09:36:16,0.054
08/17/2021,09:36:17,0.053
08/17/2021,09:36:18,0.039
08/17/2021,09:36:19,0.043
08/17/2021,09:36:20,0.041
08/17/2021,09:36:21,0.06
08/17/2021,09:36:22,0.046
08/17/2021,09:36:23,0.056
08/17/2021,09:36:24,0.064
08/17/2021,09:36:25,0.064
08/17/2021,09:36:26,0.056
08/17/2021,09:36:27,0.054
08/17/2021,09:36:28,0.054
08/17/2021,09:36:29,0.06
08/17/2021,09:36:30,0.067
08/17/2021,09:36:31,0.056
08/17/2021,09:36:32,0.06

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 2
Start Date:,08/17/2021
Start Time:,10:35:33
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.049
,Minimum:,0.029
,Time of Minimum:,10:36:14
,Date of Minimum:,08/17/2021
,Maximum:,0.078
,Time of Maximum:,10:35:44
,Date of Maximum:,08/17/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/17/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/17/2021,10:35:34,0.039
08/17/2021,10:35:35,0.041
08/17/2021,10:35:36,0.042
08/17/2021,10:35:37,0.036
08/17/2021,10:35:38,0.04
08/17/2021,10:35:39,0.07
08/17/2021,10:35:40,0.039
08/17/2021,10:35:41,0.041
08/17/2021,10:35:42,0.054
08/17/2021,10:35:43,0.057
08/17/2021,10:35:44,0.078
08/17/2021,10:35:45,0.05
08/17/2021,10:35:46,0.035
08/17/2021,10:35:47,0.049
08/17/2021,10:35:48,0.052
