TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 1
Start Date:,04/08/2022
Start Time:,10:49:40
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.02
,Minimum:,0.011
,Time of Minimum:,10:50:18
,Date of Minimum:,04/08/2022
,Maximum:,0.033
,Time of Maximum:,10:50:32
,Date of Maximum:,04/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/01/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/08/2022,10:49:41,0.021
04/08/2022,10:49:42,0.012
04/08/2022,10:49:43,0.016
04/08/2022,10:49:44,0.013
04/08/2022,10:49:45,0.03
04/08/2022,10:49:46,0.019
04/08/2022,10:49:47,0.016
04/08/2022,10:49:48,0.021
04/08/2022,10:49:49,0.019
04/08/2022,10:49:50,0.019
04/08/2022,10:49:51,0.021
04/08/2022,10:49:52,0.017
04/08/2022,10:49:53,0.021
04/08/2022,10:49:54,0.017
04/08/2022,10:49:55,0.02
04/08/2022,10:49:56,0.015
04/08/2022,10:49:57,0.011
04/08/2022,10:49:58,0.026
04/08/2022,10:49:59,0.011
04/08/2022,10:50:00,0.013
04/08/2022,10:50:01,0.012
04/08/2022,10:50:02,0.013
04/08/2022,10:50:03,0.019
04/08/2022,10:50:04,0.031
04/08/2022,10:50:05,0.018
04/08/2022,10:50:06,0.017
04/08/2022,10:50:07,0.019
04/08/2022,10:50:08,0.022
04/08/2022,10:50:09,0.028
04/08/2022,10:50:10,0.032
04/08/2022,10:50:11,0.023
04/08/2022,10:50:12,0.014
04/08/2022,10:50:13,0.017
04/08/2022,10:50:14,0.021
04/08/2022,10:50:15,0.022
04/08/2022,10:50:16,0.013
04/08/2022,10:50:17,0.013
04/08/2022,10:50:18,0.011
04/08/2022,10:50:19,0.032
04/08/2022,10:50:20,0.026
04/08/2022,10:50:21,0.029
04/08/2022,10:50:22,0.017
04/08/2022,10:50:23,0.02
04/08/2022,10:50:24,0.028
04/08/2022,10:50:25,0.019
04/08/2022,10:50:26,0.013
04/08/2022,10:50:27,0.019
04/08/2022,10:50:28,0.032
04/08/2022,10:50:29,0.021
04/08/2022,10:50:30,0.019
04/08/2022,10:50:31,0.026
04/08/2022,10:50:32,0.033
04/08/2022,10:50:33,0.029
04/08/2022,10:50:34,0.02
04/08/2022,10:50:35,0.019
04/08/2022,10:50:36,0.015
04/08/2022,10:50:37,0.02
04/08/2022,10:50:38,0.025
04/08/2022,10:50:39,0.017
04/08/2022,10:50:40,0.019

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 2
Start Date:,04/08/2022
Start Time:,11:49:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.04
,Minimum:,0.022
,Time of Minimum:,11:50:20
,Date of Minimum:,04/08/2022
,Maximum:,0.104
,Time of Maximum:,11:50:31
,Date of Maximum:,04/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/01/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/08/2022,11:49:42,0.059
04/08/2022,11:49:43,0.037
04/08/2022,11:49:44,0.035
04/08/2022,11:49:45,0.03
04/08/2022,11:49:46,0.039
04/08/2022,11:49:47,0.025
04/08/2022,11:49:48,0.025
04/08/2022,11:49:49,0.046
04/08/2022,11:49:50,0.033
04/08/2022,11:49:51,0.031
04/08/2022,11:49:52,0.036
04/08/2022,11:49:53,0.038
04/08/2022,11:49:54,0.034
04/08/2022,11:49:55,0.032
04/08/2022,11:49:56,0.03
04/08/2022,11:49:57,0.028
04/08/2022,11:49:58,0.03
04/08/2022,11:49:59,0.033
04/08/2022,11:50:00,0.028
04/08/2022,11:50:01,0.04
04/08/2022,11:50:02,0.033
04/08/2022,11:50:03,0.037
04/08/2022,11:50:04,0.024
04/08/2022,11:50:05,0.05
04/08/2022,11:50:06,0.041
04/08/2022,11:50:07,0.03
04/08/2022,11:50:08,0.033
04/08/2022,11:50:09,0.034
04/08/2022,11:50:10,0.037
04/08/2022,11:50:11,0.06
04/08/2022,11:50:12,0.025
04/08/2022,11:50:13,0.072
04/08/2022,11:50:14,0.032
04/08/2022,11:50:15,0.027
04/08/2022,11:50:16,0.044
04/08/2022,11:50:17,0.031
04/08/2022,11:50:18,0.028
04/08/2022,11:50:19,0.048
04/08/2022,11:50:20,0.022
04/08/2022,11:50:21,0.035
04/08/2022,11:50:22,0.036
04/08/2022,11:50:23,0.047
04/08/2022,11:50:24,0.055
04/08/2022,11:50:25,0.04
04/08/2022,11:50:26,0.092
04/08/2022,11:50:27,0.045
04/08/2022,11:50:28,0.037
04/08/2022,11:50:29,0.048
04/08/2022,11:50:30,0.04
04/08/2022,11:50:31,0.104
04/08/2022,11:50:32,0.051
04/08/2022,11:50:33,0.047
04/08/2022,11:50:34,0.04
04/08/2022,11:50:35,0.041
04/08/2022,11:50:36,0.034
04/08/2022,11:50:37,0.035
04/08/2022,11:50:38,0.069
04/08/2022,11:50:39,0.047
04/08/2022,11:50:40,0.041
04/08/2022,11:50:41,0.041

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 3
Start Date:,04/08/2022
Start Time:,12:49:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.033
,Minimum:,0.021
,Time of Minimum:,12:49:53
,Date of Minimum:,04/08/2022
,Maximum:,0.066
,Time of Maximum:,12:50:01
,Date of Maximum:,04/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/01/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/08/2022,12:49:42,0.027
04/08/2022,12:49:43,0.031
04/08/2022,12:49:44,0.025
04/08/2022,12:49:45,0.025
04/08/2022,12:49:46,0.024
04/08/2022,12:49:47,0.043
04/08/2022,12:49:48,0.028
04/08/2022,12:49:49,0.022
04/08/2022,12:49:50,0.03
04/08/2022,12:49:51,0.029
04/08/2022,12:49:52,0.027
04/08/2022,12:49:53,0.021
04/08/2022,12:49:54,0.028
04/08/2022,12:49:55,0.038
04/08/2022,12:49:56,0.032
04/08/2022,12:49:57,0.022
04/08/2022,12:49:58,0.024
04/08/2022,12:49:59,0.026
04/08/2022,12:50:00,0.053
04/08/2022,12:50:01,0.066
04/08/2022,12:50:02,0.028
04/08/2022,12:50:03,0.023
04/08/2022,12:50:04,0.03
04/08/2022,12:50:05,0.035
04/08/2022,12:50:06,0.034
04/08/2022,12:50:07,0.024
04/08/2022,12:50:08,0.031
04/08/2022,12:50:09,0.037
04/08/2022,12:50:10,0.032
04/08/2022,12:50:11,0.033
04/08/2022,12:50:12,0.038
04/08/2022,12:50:13,0.037
04/08/2022,12:50:14,0.039
04/08/2022,12:50:15,0.028
04/08/2022,12:50:16,0.028
04/08/2022,12:50:17,0.03
04/08/2022,12:50:18,0.029
04/08/2022,12:50:19,0.033
04/08/2022,12:50:20,0.022
04/08/2022,12:50:21,0.047
04/08/2022,12:50:22,0.028
04/08/2022,12:50:23,0.028
04/08/2022,12:50:24,0.029
04/08/2022,12:50:25,0.025
04/08/2022,12:50:26,0.05
04/08/2022,12:50:27,0.044
04/08/2022,12:50:28,0.035
04/08/2022,12:50:29,0.054
04/08/2022,12:50:30,0.059
04/08/2022,12:50:31,0.039
04/08/2022,12:50:32,0.029
04/08/2022,12:50:33,0.031
04/08/2022,12:50:34,0.03
04/08/2022,12:50:35,0.037
04/08/2022,12:50:36,0.036
04/08/2022,12:50:37,0.035
04/08/2022,12:50:38,0.041
04/08/2022,12:50:39,0.035
04/08/2022,12:50:40,0.029
04/08/2022,12:50:41,0.023

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
